Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2005,"293,261","231,325","267,695","205,759","263,469","201,533","72,963","61,936","56,755","53,509","47,706","5,803","5,181","15,873","7,908","4,444","7,965","1,217","6,748","20,056","18,474",611,"1,247","40,592","37,176","35,458","2,219","16,859","14,416","25,566","12,046","8,932","2,338","4,425",808,"1,539","1,469","5,839","1,956",950,"2,076","36,247","14,218","5,217","9,001","22,029","19,398","2,631","7,863","2,958","1,980",978,782,"20,592","13,209","4,004","29,792","25,914","12,541"
Feb. 2005,"295,062","228,117","270,080","203,135","265,320","198,375","74,808","66,945","61,698","57,407","50,927","6,480","5,247","15,870","7,973","4,570","7,897","1,222","6,675","19,965","18,255",612,"1,173","37,829","34,286","32,674","2,316","16,445","14,022","24,982","13,878","9,501","2,453","4,903",704,"1,838","2,412","4,902","1,976",980,"1,086","37,137","14,943","5,870","9,073",22194,"19,287","2,907","8,062","3,021","1,823","1,198",713,"19,305","12,317","3,471","29,742","25,934","12,491"
Mar. 2005,"339,141","258,532","309,761","229,152","306,384","225,775","82,664","80,609","74,577","68,039","61,437","6,602","6,032","17,097","8,787","4,852","8,310","1,329","6,981","26,297","23,435",777,"1,445","42,159","38,210","36,393","2,530","18,056","15,399","29,380","15,727","11,744","3,105","6,098",798,"2,073","1,786","5,560","2,408","1,173","1,101","41,217","16,601","6,390","10,211",24616,"21,338","3,278","8,557","3,063","1,920","1,143",774,"21,725","14,154","3,540","32,757","28,566","14,004"
Apr. 2005,"335,632","257,963","305,083","227,414","302,054","224,385","81,063","77,669","71,728","64,571","58,535","6,036","5,941","15,994","8,418","4,610","7,576","1,334","6,242","29,822","25,194",847,"1,691","40,917","36,908","35,083","2,640","17,107","14,583","30,549","15,708","11,544","3,177","5,977",749,"2,117","1,924","5,490","2,539","1,098",997,"41,008","16,666","6,549","10,117","24,342","21,125","3,217","8,299","2,863","1,658","1,205",726,"19,491","13,352","2,308","33,578","28,911","14,338"
May 2005,"345,348","267,021","314,197","235,870","311,292","232,965","84,175","78,327","72,464","65,429","59,474","5,955","5,863","16,599","8,649","4,648","7,950","1,358","6,592","31,644","26,549",917,"1,805","42,964","38,742","36,840","2,709","17,639","15,105","31,151","15,989","11,502","3,164","5,962",766,"2,079","2,261","5,534","2,493","1,061","1,120","42,932","16,947","6,648","10,299","25,985","22,547","3,438","9,340","3,121","1,742","1,379",745,"19,173","13,639","1,995","34,056","29,547","14,653"
Jun. 2005,"350,945","265,567","319,083","233,705","317,375","231,997","84,379","85,378","79,125","71,603","65,585","6,018","6,253","17,185","8,966","4,816","8,219","1,470","6,749","30,931","26,863",962,"1,776","42,445","38,219","36,341","2,783","17,201","14,682","31,862","15,559","11,479","3,045","5,963",836,"1,975","1,968","5,669","2,655","1,049","1,154","42,933","17,150","6,591","10,559","25,783","22,390","3,393","8,980","3,033","1,606","1,427",736,"19,232","13,634","1,948","33,570","29,239","14,598"
Jul. 2005,"351,827","264,117","317,939","230,229","316,887","229,177","83,562","87,710","81,735","75,311","69,231","6,080","5,975","17,168","8,957","4,875","8,211","1,395","6,816","27,368","24,677",887,"1,615","43,688","39,289","37,333","2,924","17,018","14,501","33,888","15,218","11,267","2,741","6,135",761,"2,053","1,767","5,777","2,652","1,077","1,214","42,335","16,323","6,005","10,318","26,012","22,775","3,237","8,623","3,064","1,603","1,461",729,"18,094","13,107","1,858","34,940","30,593","15,260"
Aug. 2005,"355,701","274,481","319,497","238,277","321,409","240,189","88,789","81,220","74,885","68,925","62,506","6,419","6,335","18,395","9,607","5,180","8,788","1,430","7,358","28,332","25,872",910,"1,613","42,816","38,627","36,647","2,791","17,618","15,013","36,204","16,697","12,148","2,871","6,591",839,"2,462","1,954","6,989","2,788","1,028","2,218","43,077","17,199","6,601","10,598","25,878","22,626","3,252","9,170","3,631","2,159","1,472",757,"20,891","14,910","2,300","34,292","29,898","14,824"
Sep. 2005,"333,289","263,877","297,029","227,617","300,439","231,027","81,830","69,412","63,626","58,825","53,141","5,684","5,786","17,428","9,216","5,043","8,212","1,369","6,843","27,402","25,192",902,"1,575","41,985","37,844","35,859","2,784","17,105","14,615","36,260","14,960","11,142","2,963","5,770",748,"1,935","1,756","5,841","2,338","1,019","1,554","40,281","15,506","6,118","9,388","24,775","21,571","3,204","8,944","3,320","1,989","1,331",767,"20,821","14,318","2,588","32,850","27,866","13,752"
Oct. 2005,"336,134","272,540","299,577","235,983","302,213","238,619","86,755","63,594","57,772","53,555","47,958","5,597","5,822","17,325","9,110","4,922","8,215","1,411","6,804","27,708","25,244",886,"1,632","42,420","38,251","36,322","2,801","17,387","14,846","36,557","16,509","12,387","3,120","6,634",842,"2,105","1,892","5,548","2,246","1,229","1,064","44,135","17,456","6,712","10,744","26,679","23,246","3,433","8,953","3,238","1,725","1,513",837,"22,077","15,022","2,791","33,921","28,912","14,226"
