Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2017,"422,032","336,830","386,128","300,926","369,081","283,879","89,778","85,202","78,183","74,605","65,945","8,660","7,019","15,447","8,413","4,646","7,034","1,301","5,733","22,371","20,239",746,"1,774","57,814","52,566","50,512","3,578","25,731","21,749","35,904","15,921","11,851","2,375","6,033","1,505","2,146","1,744","6,212","2,962","1,181","1,374","50,003","9,460","2,919","6,541","40,543","35,248","5,295","8,652","2,195","1,186","1,009","1,229","45,824","38,052","3,948","52,951","46,486","22,808"
Feb. 2017,"418,388","328,958","384,197","294,767","365,592","276,162","90,408","89,430","82,497","77,694","67,919","9,775","6,933","15,099","8,381","4,758","6,718","1,288","5,430","22,481","19,948",772,"1,689","54,509","49,226","47,216","3,607","24,728","20,621","34,191","18,036","12,711","2,670","6,551","1,446","2,680","2,436","5,555","3,038","1,180",674,"49,660","9,973","3,328","6,645",39687,"34,271","5,416","8,798","2,058",971,"1,087","1,251","43,105","35,946","3,377","52,796","45,946","22,349"
Mar. 2017,"483,153","376,846","444,070","337,763","423,002","316,695","103,427","106,307","97,942","91,108","79,960","11,148","8,365","17,313","9,818","5,475","7,495","1,492","6,003","29,209","25,196",977,"2,117","60,257","54,383","52,107","4,075","27,510","22,663","39,083","21,348","15,791","3,363","8,382","1,581","3,239","2,104","6,632","3,790","1,354",692,"55,844","11,683","3,818","7,865",44161,"38,016","6,145","9,916","2,290","1,058","1,232","1,428","49,583","41,809","3,373","60,151","52,510","25,836"
Apr. 2017,"465,824","368,494","426,382","329,052","407,240","309,910","100,821","97,330","89,649","82,270","72,876","9,394","7,681","15,403","8,730","4,749","6,673","1,349","5,324","31,243","25,944",935,"2,199","59,623","53,651","51,283","4,078","25,826","21,629","39,442","21,154","15,686","3,493","8,448","1,377","3,080","2,174","6,348","3,654","1,277",715,"55,713","11,495","3,822","7,673","44,218","38,072","6,146","9,686","2,203",920,"1,283","1,323","45,472","39,263","2,128","58,584","50,886","25,160"
May 2017,"494,645","388,994","453,370","347,719","434,506","328,855","104,348","105,651","97,511","89,625","79,737","9,888","8,140","16,735","9,579","5,141","7,156","1,452","5,704","35,615","29,744","1,082","2,433","62,129","55,724","53,238","4,457","27,381","23,021","41,275","21,954","16,007","3,483","8,630","1,481","2,922","2,748","6,562","3,810","1,246",770,"56,650","11,854","4,001","7,853","44,796","38,496","6,300","11,201","2,447",961,"1,486","1,389","49,353","42,741","1,913","60,139","52,487","26,324"
Jun. 2017,"481,737","379,127","441,256","338,646","423,066","320,456","103,242","102,610","94,457","86,399","76,461","9,938","8,153","16,752","9,525","5,085","7,227","1,447","5,780","33,426","28,827","1,114","2,386","60,555","54,202","51,782","4,482","26,849","22,353","40,481","20,623","15,397","3,216","8,392","1,495","2,768","2,238","6,726","4,115","1,178",688,"56,765","11,595","3,671","7,924","45,170","38,879","6,291","10,511","2,376",896,"1,480","1,324","47,768","41,563","1,631","58,671","51,653","26,180"
Jul. 2017,"475,370","373,129","435,164","332,923","416,906","314,665","102,617","102,241","94,335","87,368","77,686","9,682","7,906","16,469","9,396","5,104","7,073","1,396","5,677","30,053","26,489","1,044","2,190","61,618","55,165","52,685","4,598","25,965","21,611","40,206","20,792","15,363","3,080","8,712","1,384","2,978","2,204","6,504","3,919","1,193",650,"56,394","11,329","3,512","7,817","45,065","38,984","6,081","10,264","2,458",926,"1,532","1,380","46,400","40,747","1,471","58,464","51,811","26,455"
Aug. 2017,"490,312","385,514","448,677","343,879","431,804","327,006","108,657","104,798","96,523","89,966","80,178","9,788","8,275","17,500","10,031","5,229","7,469","1,387","6,082","30,303","27,028","1,123","2,248","61,413","55,082","52,627","4,452","27,606","22,815","41,635","22,768","16,348","3,170","9,122","1,576","3,926","2,263","7,648","4,226","1,243","1,375","57,867","12,155","3,593","8,562","45,712","39,543","6,169","10,751","2,874","1,390","1,484","1,455","49,515","43,216","1,706","58,508","51,567","26,446"
Sep. 2017,"469,698","369,734","428,012","328,048","412,546","312,582","100,527","99,964","92,136","86,435","77,018","9,417","7,828","16,970","9,676","5,189","7,294","1,386","5,908","28,992","26,027","1,016","2,165","60,275","54,135","51,668","4,345","26,546","21,932","41,686","19,899","14,709","3,006","8,074","1,362","2,750","2,214","6,720","3,568","1,349",976,"54,443","10,866","3,533","7,333","43,577","37,587","5,990","10,201","2,495","1,076","1,419","1,423","46,850","40,572","1,853","57,152","49,029","25,044"
Oct. 2017,"475,997","378,622","434,013","336,638","417,773","320,398","102,864","97,375","89,420","84,362","75,069","9,293","7,955","16,812","9,644","5,050","7,168","1,361","5,807","29,694","26,559","1,040","2,273","60,743","54,543","52,077","4,342","27,752","23,364","41,984","20,457","15,356","3,181","8,620","1,295","2,641","2,230","6,340","3,394","1,446",651,"56,356","11,143","3,556","7,587","45,213","38,981","6,232","10,683","2,899",942,"1,957","1,560","49,577","42,697","2,361","58,224","49,990","25,614"
