Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2004,"281,460","220,314","258,687","197,541","252,818","191,672","70,448","61,146","56,235","52,917","47,864","5,053","4,911","15,277","7,651","4,365","7,626","1,158","6,468","18,081","16,526",569,"1,197","39,978","36,475","34,761","2,293","16,336","14,065","22,773","11,790","8,682","2,267","4,271",762,"1,526","1,463","5,856","1,901",962,"2,146","34,374","14,053","5,120","8,933","20,321","17,664","2,657","8,001","3,151","2,066","1,085",734,"19,206","11,989","4,053","28,642","24,839","11,817"
Feb. 2004,"282,444","217,214","259,890","194,660","253,689","188,459","72,295","65,230","60,208","56,122","50,584","5,538","5,022","15,022","7,613","4,335","7,409","1,147","6,262","17,862","16,258",582,"1,138","37,184","33,701","32,066","2,219","15,649","13,341","22,554","13,344","9,133","2,402","4,594",737,"1,737","2,346","4,874","1,888","1,045","1,108","35,920","15,157","5,893","9,264",20763,"17,884","2,879","7,805","3,135","1,829","1,306",704,"18,245","11,260","3,459","28,755","24,952","11,955"
Mar. 2004,"319,077","240,415","293,475","214,813","287,944","209,282","77,591","78,662","72,817","66,693","60,638","6,055","5,845","16,161","8,499","4,638","7,662","1,277","6,385","24,942","21,879",757,"1,421","39,604","35,892","34,081","2,398","17,170","14,506","25,602","14,760","10,893","2,915","5,614",780,"1,977","1,766","5,406","2,287","1,125","1,073","38,278","16,440","6,406","10,034",21838,"18,664","3,174","8,164","2,986","1,823","1,163",753,"19,195","12,621","2,661","31,133","27,054","13,268"
Apr. 2004,"315,191","241,939","288,984","215,732","284,325","211,073","77,093","73,252","67,574","61,142","55,578","5,564","5,678","15,050","7,991","4,307","7,059","1,203","5,856","28,261","23,351",780,"1,636","39,857","35,876","34,064","2,553","16,542","14,034","26,207","15,058","10,974","3,023","5,612",742,"2,127","1,829","5,169","2,221","1,082","1,023","38,899","16,697","6,369","10,328","22,202","19,000","3,202","8,281","2,917","1,615","1,302",702,"17,749","12,030","2,092","30,866","26,738","13,334"
May 2004,"328,408","250,917","299,830","222,339","296,253","218,762","80,595","77,491","71,922","65,214","59,332","5,882","5,569","15,595","8,112","4,458","7,483","1,290","6,193","28,431","23,595",807,"1,801","41,918","37,733","35,785","2,685","16,528","14,025","28,578","15,379","10,998","3,005","5,679",777,"2,007","2,230","5,297","2,305",974,"1,113","41,341","17,467","6,694","10,773","23,874","20,590","3,284","9,099","2,983","1,593","1,390",752,"16,596","11,706","1,661","32,155","27,839","13,709"
Jun. 2004,"321,044","245,689","292,641","217,286","289,664","214,309","77,927","75,355","69,485","62,812","57,264","5,548","5,870","16,192","8,443","4,573","7,749","1,341","6,408","28,623","24,738",865,"1,736","40,447","36,362","34,405","2,643","16,388","13,877","28,403","14,237","10,396","2,777","5,325",824,"1,824","1,887","5,602","2,514","1,024","1,207","38,949","16,282","6,188","10,094","22,667","19,567","3,100","8,495","2,947","1,572","1,375",753,"16,973","11,840","1,667","31,380","27,258","13,494"
Jul. 2004,"328,000","249,163","298,714","219,877","294,875","216,038","79,732","78,837","72,936","66,631","60,858","5,773","5,901","16,723","8,895","4,846","7,828","1,312","6,516","26,162","23,341",837,"1,689","42,512","38,170","36,142","2,867","16,306","13,747","29,286","14,667","10,796","2,595","5,840",790,"1,950","1,792","5,677","2,530","1,086","1,172","39,651","16,454","6,049","10,405","23,197","20,099","3,098","8,407","3,014","1,592","1,422",778,"16,647","11,655","1,680","33,125","28,982","14,302"
Aug. 2004,"326,317","249,940","297,588","221,211","294,133","217,756","83,081","76,377","70,514","65,194","59,246","5,948","5,863","17,093","8,883","4,786","8,210","1,299","6,911","25,578","23,253",829,"1,571","40,617","36,607","34,629","2,622","16,377","13,783","28,729","15,588","11,380","2,644","6,126",870,"2,280","1,800","6,706","2,621","1,016","2,120","40,239","17,203","6,512","10,691","23,036","20,016","3,020","8,750","3,455","2,079","1,376",748,"18,079","12,540","1,904","32,184","28,076","13,812"
Sep. 2004,"313,524","239,944","286,173","212,593","282,974","209,394","76,941","73,580","68,038","63,519","57,973","5,546","5,542","16,164","8,441","4,525","7,723","1,250","6,473","25,136","22,852",758,"1,535","40,270","36,360","34,442","2,618","15,986","13,632","27,351","14,224","10,579","2,774","5,494",761,"1,796","1,732","5,757","2,216","1,051","1,561","37,587","15,985","6,335","9,650","21,602","18,671","2,931","8,392","3,209","1,934","1,275",797,"18,527","12,412","2,008","30,550","26,179","12,793"
Oct. 2004,"319,726","250,981","290,182","221,437","287,468","218,723","81,807","68,745","63,129","58,913","53,128","5,785","5,616","16,431","8,718","4,683","7,713","1,278","6,435","24,833","22,415",755,"1,496","41,050","37,004","35,064","2,727","16,421","14,055","29,544","15,570","11,695","2,990","6,230",787,"1,902","1,852","5,418","2,103","1,311","1,069","41,192","17,446","6,643","10,803","23,746","20,533","3,213","8,592","3,196","1,673","1,523",832,"19,672","13,030","2,498","32,258","27,517","13,463"
