Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2010,"314,557","264,687","280,412","230,542","279,044","229,174","79,913","49,870","44,566","42,162","37,035","5,127","5,304","13,963","6,324","3,683","7,639","1,112","6,527","15,348","13,738",466,"1,272","47,072","42,985","41,185","2,878","20,721","17,874","34,145","13,216","9,902","2,304","4,971",945,"1,706","1,496","6,247","2,373",958,"2,150","43,853","12,298","3,910","8,388","31,555","28,171","3,384","7,244","2,634","1,738",896,822,"27,365","19,565","4,743","35,513","30,952","15,454"
Feb. 2010,"310,925","259,103","279,037","227,215","275,566","223,744","81,419","51,822","46,213","43,455","37,155","6,300","5,609","14,322","6,468","3,834","7,854","1,130","6,724","15,469","13,750",484,"1,227","44,275","40,061","38,400","2,916","20,118","17,171","31,888","14,816","10,568","2,480","5,593",869,"2,041","2,093","4,995","2,303","1,005",948,"44,756","12,819","4,398","8,421",31937,"28,258","3,679","7,362","2,530","1,550",980,866,"25,743","18,419","4,147","35,359","30,536","15,325"
Mar. 2010,"360,679","293,231","323,445","255,997","321,305","253,857","89,806","67,448","60,806","56,506","49,926","6,580","6,642","15,044","7,271","4,091","7,773","1,223","6,550","21,691","19,009",670,"1,512","48,123","43,434","41,542","3,214","22,474","19,214","37,234","17,390","13,125","3,293","6,875",941,"2,345","1,783","6,033","3,118","1,161",948,"48,642","14,632","4,870","9,762",34010,"29,852","4,158","8,458","2,697","1,628","1,069","1,013","28,768","21,629","3,320","39,374","34,162","17,064"
Apr. 2010,"356,333","291,965","318,036","253,668","316,940","252,572","86,903","64,368","57,767","53,010","47,053","5,957","6,601","13,891","6,729","3,675","7,162","1,245","5,917","26,688","21,771",703,"1,730","47,050","42,236","40,354","3,310","21,471","18,340","38,297","17,042","12,899","3,334","6,725",938,"2,223","1,794","5,659","3,001","1,065",858,"47,749","14,183","5,153","9,030","33,566","29,350","4,216","8,245","2,562","1,480","1,082",964,"26,480","20,385","2,458","39,393","33,799","16,819"
May 2010,"365,605","300,362","326,437","261,194","324,820","259,577","91,304","65,243","58,792","54,203","48,346","5,857","6,451","14,545","6,932","3,965","7,613","1,365","6,248","26,238","21,871",727,"1,825","49,655","44,607","42,658","3,467","21,335","18,295","39,168","17,727","13,124","3,308","6,875",991,"2,216","2,245","5,885","3,078","1,036","1,015","50,474","14,922","5,133","9,789","35,552","31,271","4,281","9,048","2,673","1,411","1,262",997,"25,502","20,021","2,074","40,785","35,152","17,531"
Jun. 2010,"358,604","293,904","320,396","255,696","319,183","254,483","88,173","64,700","57,777","53,074","46,879","6,195","6,923","14,876","6,902","3,749","7,974","1,344","6,630","25,451","21,652",791,"1,714","47,813","42,877","40,944","3,438","21,466","18,372","38,208","16,138","12,164","2,995","6,334",984,"2,026","1,802","6,237","3,413","1,030","1,020","48,289","14,273","4,858","9,415","34,016","29,834","4,182","9,232","2,633","1,393","1,240",883,"26,773","21,027","2,020","39,421","34,109","17,395"
Jul. 2010,"361,939","294,933","322,885","255,879","320,915","253,909","89,423","67,006","60,194","55,880","49,697","6,183","6,812","15,203","7,243","3,964","7,960","1,355","6,605","23,100","20,304",774,"1,614","49,732","44,559","42,598","3,657","21,342","18,170","39,054","16,842","12,677","2,847","6,947",937,"2,190","1,816","6,092","3,266","1,077","1,003","48,616","13,955","4,653","9,302","34,661","30,555","4,106","8,740","2,670","1,418","1,252",977,"25,188","19,875","1,878","41,024","35,598","18,053"
Aug. 2010,"362,627","296,553","324,086","258,012","322,319","256,245","93,182","66,074","59,027","55,146","48,858","6,288","7,047","15,467","7,330","3,997","8,137","1,291","6,846","21,698","19,349",784,"1,502","48,357","43,431","41,357","3,454","21,601","18,328","38,541","17,923","13,164","2,960","7,280",897,"2,804","1,811","7,381","3,415","1,046","2,134","49,312","14,709","4,927","9,782","34,603","30,574","4,029","8,785","3,099","1,884","1,215",973,"27,180","21,602","1,982","40,308","34,878","17,897"
Sep. 2010,"345,999","284,345","308,829","247,175","307,638","245,984","85,680","61,654","54,920","51,581","45,610","5,971","6,734","14,755","7,101","3,933","7,654","1,226","6,428","21,261","18,915",736,"1,455","47,478","42,642","40,710","3,365","21,297","18,124","37,170","16,232","12,322","3,061","6,383",839,"2,085","1,684","6,113","2,828","1,080","1,400","45,676","13,520","4,824","8,696","32,156","28,166","3,990","8,797","2,904","1,687","1,217",974,"27,205","21,327","2,236","38,361","32,260","16,551"
Oct. 2010,"355,209","293,823","316,729","255,343","315,059","253,673","89,244","61,386","54,589","51,489","45,366","6,123","6,797","14,116","6,793","3,714","7,323","1,192","6,131","21,883","18,985",682,"1,524","48,583","43,536","41,591","3,497","21,796","18,611","38,480","17,412","13,169","3,214","6,943",930,"2,173","1,906","5,658","2,611","1,262",905,"49,036","14,387","5,032","9,355","34,649","30,371","4,278","9,159","3,022","1,448","1,574","1,100","27,550","21,388","2,659","40,150","34,116","17,550"
