Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2007,"328,877","262,292","297,955","231,370","295,284","228,699","81,867","66,585","61,048","57,009","50,920","6,089","5,537","17,514","8,802","4,851","8,712","1,395","7,317","21,936","20,238",692,"1,451","43,498","39,649","37,883","2,569","19,598","16,985","30,922","13,927","10,335","2,639","5,175",919,"1,777","1,699","6,223","2,200",948,"2,220","40,930","14,119","4,890","9,229","26,811","23,826","2,985","8,713","3,273","2,173","1,100",804,"25,438","17,540","4,268","33,593","29,110","13,838"
Feb. 2007,"323,162","253,789","293,400","224,027","290,065","220,692","80,923","69,373","63,931","59,771","53,146","6,625","5,442","16,716","8,423","4,903","8,293","1,306","6,987","20,803","18,893",683,"1,380","41,044","37,150","35,480","2,603","18,431","15,822","29,762","15,077","10,531","2,694","5,289",883,"1,888","2,521","5,052","2,171",974,"1,039","40,959","14,441","5,305","9,136",26518,"23,432","3,086","8,496","3,119","1,900","1,219",873,"24,352","16,118","4,657","33,097","28,557","13,514"
Mar. 2007,"374,142","290,309","338,539","254,706","335,917","252,084","91,885","83,833","77,323","70,738","63,462","7,276","6,510","17,936","9,415","5,195","8,521","1,447","7,074","27,282","23,857",860,"1,710","45,254","40,815","38,930","3,005","20,224","17,258","35,603","18,045","13,563","3,499","7,126",907,"2,327","1,999","6,189","2,969","1,188","1,027","46,408","16,534","5,941","10,593",29874,"26,305","3,569","9,416","3,307","1,985","1,322","1,037","25,727","18,040","3,566","38,225","32,966","15,790"
Apr. 2007,"358,535","281,270","321,858","244,593","321,981","244,716","86,935","77,265","71,195","64,366","57,632","6,734","6,070","16,210","8,553","4,688","7,657","1,343","6,314","28,882","24,763",853,"1,777","43,562","39,244","37,337","2,867","19,259","16,532","36,677","17,096","12,757","3,531","6,501",814,"2,245","1,954","5,637","2,737","1,064",930,"45,014","16,091","5,965","10,126","28,923","25,435","3,488","8,850","2,978","1,709","1,269",828,"23,529","16,927","2,777","36,554","31,229","15,070"
May 2007,"391,512","306,329","350,134","264,951","353,201","268,018","93,516","85,183","78,577","70,465","63,279","7,186","6,606","17,647","9,266","5,018","8,381","1,541","6,840","34,219","28,628",980,"2,092","47,042","42,207","40,144","3,262","20,181","17,279","41,378","18,474","13,423","3,760","6,885",852,"2,213","2,678","6,227","3,087","1,050","1,134","47,879","16,924","6,222","10,702","30,955","27,163","3,792","10,624","3,289","1,746","1,543",927,"24,347","18,053","2,268","38,311","32,930","16,114"
Jun. 2007,"376,639","296,815","336,158","256,334","338,189","258,365","91,675","79,824","73,265","65,945","59,095","6,850","6,559","17,571","9,171","4,892","8,400","1,532","6,868","30,194","26,408",976,"1,965","46,140","41,279","39,257","3,364","19,542","16,497","40,481","17,289","12,806","3,412","6,629",858,"2,094","2,226","6,555","3,380","1,096","1,161","47,122","16,307","5,820","10,487","30,815","27,231","3,584","10,325","3,138","1,669","1,469",885,"23,146","17,211","1,978","38,450","33,151","16,291"
Jul. 2007,"372,354","293,257","331,658","252,561","333,815","254,718","89,929","79,097","72,619","66,174","59,393","6,781","6,478","17,637","9,194","4,874","8,443","1,479","6,964","28,511","25,588",974,"1,726","46,416","41,619","39,563","3,322","19,375","16,542","40,696","16,883","12,537","2,770","6,744","1,104","2,139","2,052","6,333","3,165","1,102","1,220","45,847","15,653","5,458","10,195","30,194","26,736","3,458","9,597","3,229","1,784","1,445",836,"23,423","17,617","1,989","38,539","33,196","16,476"
Aug. 2007,"388,016","303,383","347,629","262,996","349,191","264,558","97,930","84,633","77,809","71,327","64,017","7,310","6,824","19,076","9,867","5,206","9,209","1,565","7,644","28,261","25,666","1,005","1,735","46,670","41,896","39,847","3,292","20,154","16,992","40,387","18,850","13,737","3,205","7,471",913,"2,777","2,178","7,750","3,378","1,084","2,327","48,371","17,283","6,155","11,128","31,088","27,534","3,554","10,151","3,883","2,421","1,462",895,"24,888","18,523","2,207","38,825","33,725","16,700"
Sep. 2007,"353,936","280,466","316,261","242,791","317,145","243,675","87,545","73,470","67,408","62,397","55,806","6,591","6,062","17,160","8,885","4,873","8,275","1,405","6,870","25,243","22,706",843,"1,589","44,719","40,191","38,278","3,057","18,864","15,966","37,675","16,765","12,564","3,177","6,434",913,"2,030","2,025","6,351","2,712","1,102","1,578","43,958","15,254","5,626","9,628","28,704","25,356","3,348","9,442","3,311","1,948","1,363",885,"23,498","17,206","2,338","36,791","30,911","15,312"
Oct. 2007,"368,681","294,220","329,256","254,795","331,073","256,612","90,808","74,461","67,717","62,846","56,263","6,583","6,744","17,414","9,069","4,740","8,345","1,486","6,859","27,380","24,458",905,"1,667","45,553","40,924","39,006","3,087","20,208","17,264","39,425","17,614","13,209","3,306","6,883",982,"2,080","2,175","5,973","2,570","1,275","1,129","46,285","16,354","5,929","10,425","29,931","26,270","3,661","9,828","3,522","1,845","1,677","1,007","26,932","19,574","2,988","37,608","31,744","15,818"
Nov. 2007,"377,802","310,458","338,000","270,656","341,848","274,504","106,767","67,344","61,212","57,241","51,284","5,957","6,132","20,960","10,012","5,063","10,948","1,635","9,313","25,850","22,742",766,"1,678","46,809","41,910","40,058","3,297","19,639","16,713","39,802","20,550","15,317","3,598","8,288","1,098","2,258","2,792","7,384","2,939","2,208","1,227","54,310","20,878","7,754","13,124","33,432","29,236","4,196","9,703","3,563","1,880","1,683",944,"29,497","21,583","3,719","35,954","30,691","15,136"
Dec. 2007,"426,077","357,006","387,063","317,992","387,473","318,402","143,646","69,071","63,300","59,124","53,410","5,714","5,771","25,644","10,487","4,985","15,157","1,665","13,492","22,293","19,900",629,"1,739","51,130","44,476","42,581","4,403","21,689","18,434","39,014","30,635","20,843","4,703","11,167","1,760","2,983","6,521","11,235","4,496","3,253","2,179","71,499","29,554","11,822","17,732","41,945","36,439","5,506","11,273","4,633","2,144","2,489","1,009","33,990","25,289","4,681","38,604","33,296","15,942"
