Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2008,"342,639","276,796","303,949","238,106","307,576","241,733","82,944","65,843","60,169","56,319","49,775","6,544","5,674","16,843","8,163","4,597","8,680","1,316","7,364","20,551","18,677",674,"1,416","45,794","41,864","40,060","2,675","20,200","17,449","38,690","14,173","10,478","2,519","5,240",967,"1,772","1,797","6,532","2,315","1,045","2,300","42,183","13,214","4,558","8,656","28,969","25,762","3,207","9,094","3,213","2,115","1,098",866,"27,673","18,651","5,377","35,063","30,334","14,828"
Feb. 2008,"343,893","274,863","306,277","237,247","308,171","239,141","85,539","69,030","63,205","58,684","51,502","7,182","5,825","16,813","8,104","4,658","8,709","1,362","7,347","20,311","18,247",664,"1,335","44,062","39,915","38,147","2,806","20,056","17,201","37,616","15,876","11,092","2,763","5,603",911,"2,037","2,609","5,495","2,415","1,078","1,157","44,263","14,291","5,150","9,141",29972,"26,608","3,364","8,730","3,092","1,854","1,238",893,"25,919","17,399","4,899","35,722","30,854","14,992"
Mar. 2008,"372,907","296,293","330,681","254,067","334,416","257,802","91,761","76,614","70,321","64,382","57,091","7,291","6,293","16,910","8,381","4,701","8,529","1,369","7,160","23,894","20,722",749,"1,531","47,064","42,590","40,692","2,989","20,755","17,719","42,226","17,770","13,223","3,392","6,583","1,004","2,317","2,074","6,107","2,995","1,185","1,026","47,998","15,765","5,612","10,153",32233,"28,604","3,629","8,777","2,976","1,742","1,234",938,"26,301","17,984","4,460","38,491","33,274","16,172"
Apr. 2008,"368,920","295,184","325,257","251,521","331,002","257,266","87,462","73,736","67,336","60,804","53,864","6,940","6,400","15,987","8,029","4,406","7,958","1,392","6,566","28,686","24,370",825,"1,794","45,386","40,966","39,083","2,997","20,051","17,143","43,663","17,103","12,671","3,439","6,289",940,"2,242","2,044","5,910","2,984","1,082","1,004","45,611","14,947","5,487","9,460","30,664","27,093","3,571","8,793","2,851","1,685","1,166",943,"26,076","18,676","3,486","37,918","32,299","16,010"
May 2008,"397,956","321,829","349,444","273,317","357,277","281,150","97,590","76,127","69,485","62,079","55,396","6,683","6,642","17,438","8,604","4,714","8,834","1,468","7,366","31,911","26,291",890,"2,067","49,605","44,549","42,481","3,420","20,906","17,871","48,512","19,084","13,804","3,603","7,056","1,016","2,394","2,715","6,463","3,276","1,132","1,158","51,467","16,640","5,996","10,644","34,827","30,816","4,011","10,034","3,138","1,640","1,498",987,"25,730","18,621","3,074","40,679","34,833","17,127"
Jun. 2008,"378,507","309,079","328,422","258,994","339,791","270,363","92,346","69,428","62,743","56,153","49,500","6,653","6,685","16,752","8,117","4,262","8,635","1,493","7,142","29,255","24,818",885,"1,951","47,134","42,299","40,261","3,279","20,046","17,038","50,085","17,007","12,577","3,149","6,469","1,034","2,112","2,159","6,363","3,408","1,045","1,073","49,318","15,883","5,469","10,414","33,435","29,662","3,773","9,507","2,906","1,495","1,411",936,"24,896","18,128","2,803","38,716","33,284","16,580"
Jul. 2008,"383,726","314,049","331,998","262,321","344,158","274,481","92,496","69,677","62,742","56,522","50,236","6,286","6,935","17,302","8,495","4,425","8,807","1,491","7,316","28,610","25,033",957,"1,780","49,156","44,057","41,942","3,517","20,434","17,413","51,728","17,369","12,814","2,972","7,001",916,"2,226","2,163","6,371","3,308","1,100","1,121","48,330","15,142","5,169","9,973","33,188","29,443","3,745","9,699","3,124","1,726","1,398",910,"25,482","18,591","2,878","39,568","34,081","17,124"
Aug. 2008,"382,862","313,186","333,794","264,118","342,443","272,767","98,336","69,676","63,088","57,661","51,435","6,226","6,588","17,473","8,456","4,630","9,017","1,413","7,604","25,409","22,746",901,"1,681","49,035","44,010","41,935","3,472","20,249","17,200","49,068","19,041","13,753","3,144","7,528",878,"2,897","2,223","7,964","3,543","1,067","2,425","50,320","16,425","5,669","10,756","33,895","30,242","3,653","9,314","3,538","2,182","1,356",947,"24,894","18,127","2,731","40,419","34,746","17,324"
Sep. 2008,"350,542","290,053","305,360","244,871","313,308","252,819","84,961","60,489","54,121","49,995","44,333","5,662","6,368","15,723","7,676","4,100","8,047","1,338","6,709","25,079","22,364",845,"1,593","46,028","41,378","39,465","3,151","19,993","17,176","45,182","15,882","11,890","3,064","6,056",841,"1,953","1,910","6,183","2,725","1,063","1,471","44,101","13,868","4,891","8,977","30,233","26,792","3,441","9,039","3,072","1,839","1,233",962,"25,609","18,547","3,060","37,234","31,019","15,663"
Oct. 2008,"349,847","294,821","309,222","254,196","311,422","256,396","88,650","55,026","48,293","44,704","39,272","5,432","6,733","15,501","7,712","3,982","7,789","1,334","6,455","25,728","22,797",838,"1,675","47,737","42,811","41,013","3,351","20,886","18,019","40,625","16,796","12,580","3,071","6,620",918,"2,068","1,997","5,616","2,482","1,221","1,024","47,601","15,392","5,382","10,010","32,209","28,431","3,778","9,241","3,136","1,581","1,555",962,"26,665","19,067","3,528","38,425","32,543","16,570"
