Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2009,"310,188","260,095","283,647","233,554","273,998","223,905","81,348","50,093","44,342","41,559","36,015","5,544","5,751","15,200","6,796","3,842","8,404","1,258","7,146","17,600","15,702",560,"1,341","47,103","42,942","41,365","2,913","20,691","17,741","26,541","13,387","10,122","2,285","5,332",936,"1,682","1,472","6,428","2,442","1,034","2,189","43,461","12,651","3,988","8,663","30,810","27,629","3,181","7,624","2,872","1,924",948,805,"25,870","18,178","4,584","36,190","31,486","15,320"
Feb. 2009,"299,412","249,406","273,792","223,786","264,465","214,459","80,415","50,006","44,283","41,331","35,243","6,088","5,723","14,721","6,593","3,914","8,128","1,153","6,975","17,064","15,177",558,"1,226","42,602","38,522","36,975","2,781","19,840","17,028","25,620","14,684","10,514","2,424","5,621",859,"1,945","2,110","5,071","2,347","1,012",970,"43,283","12,869","4,313","8,556",30414,"26,999","3,415","7,784","2,656","1,607","1,049",894,"23,790","16,779","3,707","34,947","30,307","14,936"
Mar. 2009,"328,526","271,393","300,076","242,943","290,068","232,935","84,735","57,133","50,742","46,582","40,565","6,017","6,391","14,504","6,907","3,851","7,597","1,194","6,403","21,503","18,571",656,"1,494","45,731","41,312","39,627","3,024","21,535","18,501","28,450","15,563","11,758","2,953","6,092",921,"2,056","1,621","5,718","2,894","1,099",945,"46,336","14,058","4,655","9,403",32278,"28,551","3,727","8,238","2,614","1,600","1,014",971,"25,357","18,458","3,270","38,458","33,287","16,498"
Apr. 2009,"329,854","273,915","300,417","244,478","292,041","236,102","84,743","55,939","49,549","45,093","39,441","5,652","6,390","13,538","6,608","3,574","6,930","1,194","5,736","24,970","20,626",713,"1,727","46,450","41,781","40,084","3,130","21,059","18,226","29,437","16,337","12,320","3,264","6,246",914,"2,141","1,755","5,693","2,959","1,089",913,"46,602","14,575","4,976","9,599","32,027","28,168","3,859","8,258","2,573","1,449","1,124",927,"23,758","17,894","2,310","37,813","32,410","16,334"
May 2009,"347,728","289,996","314,770","257,038","307,481","249,749","90,415","57,732","51,414","46,510","41,068","5,442","6,318","14,294","6,974","3,844","7,320","1,253","6,067","26,952","22,160",707,"1,954","49,142","44,034","42,227","3,467","21,079","18,146","32,958","17,264","12,752","3,280","6,526",989,"2,116","2,241","5,982","3,119","1,068","1,053","50,065","15,380","5,242","10,138","34,685","30,580","4,105","8,883","2,810","1,421","1,389",860,"23,130","17,773","1,895","40,247","34,642","17,348"
Jun. 2009,"344,405","284,883","308,460","248,938","306,050","246,528","85,806","59,522","52,877","48,096","42,442","5,654","6,645","14,495","6,922","3,703","7,573","1,280","6,293","26,356","22,043",787,"1,759","46,954","42,147","40,312","3,307","20,971","17,944","35,945","15,434","11,535","2,894","5,990",932,"1,903","1,832","6,130","3,290","1,025","1,040","47,088","14,202","4,647","9,555","32,886","29,009","3,877","8,870","2,659","1,405","1,254",860,"24,285","18,638","1,970","38,355","33,019","16,771"
Jul. 2009,"348,071","285,771","311,732","249,432","308,847","246,547","86,616","62,300","55,733","51,112","45,635","5,477","6,567","14,737","7,194","3,803","7,543","1,303","6,240","24,004","21,029",798,"1,597","48,915","43,839","41,970","3,555","20,838","17,957","36,339","16,007","12,045","2,716","6,586",901,"2,050","1,754","6,029","3,209","1,062","1,038","47,096","14,171","4,537","9,634","32,925","29,108","3,817","8,486","2,747","1,469","1,278",874,"24,096","18,569","1,843","39,224","33,932","17,228"
Aug. 2009,"353,392","287,210","316,412","250,230","314,505","248,323","92,055","66,182","59,811","55,695","49,947","5,748","6,371","14,991","7,159","3,939","7,832","1,307","6,525","21,522","19,344",747,"1,516","47,863","42,995","41,155","3,399","20,585","17,604","36,980","17,656","12,967","2,942","7,185",865,"2,715","1,824","7,503","3,418","1,011","2,296","48,826","15,338","4,994","10,344","33,488","29,741","3,747","8,374","3,079","1,903","1,176",892,"24,023","18,697","1,868","38,887","33,681","17,047"
Sep. 2009,"324,646","272,523","290,298","238,175","288,071","235,948","83,173","52,123","46,011","42,315","37,120","5,195","6,112","14,215","6,967","3,827","7,248","1,203","6,045","21,302","19,376",718,"1,450","46,219","41,538","39,768","3,263","20,615","17,770","34,348","15,630","11,762","2,939","6,067",819,"1,972","1,766","6,205","2,779","1,067","1,522","44,201","13,506","4,628","8,878","30,695","26,931","3,764","8,396","2,922","1,745","1,177",925,"24,817","19,164","2,067","36,575","30,801","15,582"
Oct. 2009,"338,610","283,744","303,585","248,719","300,360","245,494","88,123","54,866","48,457","45,284","40,085","5,199","6,409","13,926","6,853","3,723","7,073","1,257","5,816","21,265","19,076",668,"1,540","47,895","43,020","41,222","3,425","21,342","18,492","35,025","17,053","13,022","3,095","7,031",914,"2,064","1,827","5,594","2,571","1,200",960,"48,508","14,973","5,100","9,873","33,535","29,427","4,108","8,705","3,042","1,558","1,484",983,"26,181","19,739","2,694","38,250","32,351","16,253"
