Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2011,"335,587","277,706","297,569","239,688","298,626","240,745","80,468","57,881","52,158","49,715","43,739","5,976","5,723","13,829","6,244","3,576","7,585","1,077","6,508","16,004","14,265",510,"1,322","48,438","44,282","42,501","2,888","22,218","19,155","38,018","13,703","10,162","2,345","5,179",968,"1,778","1,619","6,073","2,414",972,"1,950","44,322","11,895","3,959","7,936","32,427","28,851","3,576","7,509","2,541","1,603",938,942,"30,631","22,221","5,375","36,961","32,237","16,026"
Feb. 2011,"337,314","274,739","300,645","238,070","299,920","237,345","83,815","62,575","56,531","53,613","46,318","7,295","6,044","14,276","6,488","3,871","7,788","1,141","6,647","16,002","14,196",533,"1,240","45,575","41,229","39,485","2,984","21,284","18,117","36,669","15,931","11,370","2,753","5,894",878,"2,186","2,228","5,190","2,456","1,030",960,"45,804","12,857","4,507","8,350",32947,"28,956","3,991","8,108","2,614","1,489","1,125","1,029","28,506","20,666","4,684","37,394","32,452","16,204"
Mar. 2011,"387,088","311,920","342,739","267,571","345,052","269,884","92,506","75,168","67,947","63,613","55,952","7,661","7,221","15,727","7,530","4,304","8,197","1,215","6,982","21,963","18,974",685,"1,498","49,729","45,068","43,103","3,249","23,623","20,042","44,349","18,252","13,715","3,449","7,017","1,064","2,379","1,976","6,172","3,266","1,201",881,"49,675","14,178","4,970","9,208",35497,"31,017","4,480","8,661","2,680","1,578","1,102","1,182","31,733","23,815","4,072","42,036","36,502","18,230"
Apr. 2011,"380,775","311,233","334,922","265,380","339,014","269,472","91,906","69,542","62,778","58,223","51,777","6,446","6,764","14,231","6,896","3,902","7,335","1,181","6,154","24,378","20,310",704,"1,747","50,588","45,586","43,535","3,363","22,246","18,944","45,853","18,647","13,859","3,582","7,076",985,"2,422","2,194","6,000","3,246","1,192",797,"50,480","14,513","5,233","9,280","35,967","31,432","4,535","8,638","2,548","1,369","1,179","1,066","28,411","21,954","2,918","41,761","35,950","17,991"
May 2011,"391,999","322,722","343,754","274,477","348,979","279,702","93,667","69,277","62,333","57,538","51,278","6,260","6,944","14,711","7,086","3,861","7,625","1,274","6,351","27,713","22,769",708,"2,033","51,441","46,318","44,129","3,471","22,766","19,505","48,245","18,771","13,648","3,508","6,973","1,027","2,322","2,624","5,960","3,169","1,073",936,"51,435","14,484","5,162","9,322","36,951","32,353","4,598","9,533","2,790","1,368","1,422","1,063","29,127","23,133","2,435","43,020","37,165","18,557"
Jun. 2011,"388,700","318,499","341,186","270,985","346,620","276,419","92,488","70,201","62,666","57,741","51,281","6,460","7,535","14,913","7,039","3,792","7,874","1,314","6,560","27,011","22,556",853,"1,918","51,040","45,883","43,716","3,551","22,381","19,081","47,514","17,783","13,271","3,285","6,797","1,070","2,243","2,093","6,256","3,505","1,069",902,"50,906","14,719","5,174","9,545","36,187","31,560","4,627","9,482","2,630","1,301","1,329","1,004","29,133","23,110","2,269","42,080","36,409","18,351"
Jul. 2011,"384,682","315,504","336,482","267,304","341,381","272,203","92,485","69,178","62,092","57,556","51,208","6,348","7,086","15,276","7,241","4,002","8,035","1,334","6,701","23,528","20,828",801,"1,759","52,522","47,171","44,937","3,740","21,864","18,541","48,200","17,937","13,415","3,060","7,213",985,"2,347","1,983","5,997","3,334","1,089",865,"50,660","13,901","4,781","9,120","36,759","32,369","4,390","9,133","2,615","1,345","1,270","1,009","27,086","21,664","2,086","43,301","37,789","18,892"
Aug. 2011,"394,609","323,314","346,289","274,994","352,224","280,929","97,416","71,295","63,556","59,357","52,919","6,438","7,739","16,145","7,685","4,132","8,460","1,360","7,100","23,730","21,167",862,"1,779","51,575","46,448","44,275","3,576","22,982","19,481","48,320","19,263","13,889","3,027","7,649","1,001","3,022","2,179","7,627","3,623","1,074","2,142","51,266","14,675","4,976","9,699","36,591","32,240","4,351","9,604","3,115","1,912","1,203","1,210","30,417","24,422","2,366","42,385","36,986","18,675"
Sep. 2011,"375,025","308,069","329,582","262,626","333,642","266,686","90,746","66,956","59,708","56,243","50,292","5,951","7,248","15,221","7,450","4,051","7,771","1,383","6,388","22,499","20,054",791,"1,626","49,925","44,877","42,867","3,517","22,173","18,845","45,443","17,999","13,431","3,301","6,823",930,"2,320","2,081","6,372","3,011","1,151","1,335","48,238","13,598","4,895","8,703","34,640","30,322","4,318","9,254","2,916","1,645","1,271","1,115","29,562","23,446","2,595","41,383","35,130","17,628"
Oct. 2011,"379,482","313,569","334,367","268,454","337,067","271,154","92,528","65,913","58,769","55,583","49,873","5,710","7,144","14,865","6,967","3,741","7,898","1,277","6,621","23,077","19,992",740,"1,705","50,887","45,725","43,751","3,515","22,510","19,302","45,115","18,255","13,793","3,297","7,178","1,020","2,287","2,003","5,581","2,746","1,252",751,"50,877","14,264","4,994","9,270","36,613","32,069","4,544","9,270","2,950","1,387","1,563","1,186","30,717","24,090","3,067","42,415","36,144","18,153"
