Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2015,"398,396","319,400","365,262","286,266","350,304","271,308","90,415","78,996","72,346","68,954","61,352","7,602","6,650","16,017","8,033","4,496","7,984","1,271","6,713","20,713","18,487",686,"1,735","56,747","51,645","49,784","3,486","25,161","21,267","33,134","15,854","11,651","2,497","5,997","1,273","2,102","1,893","6,245","2,870","1,128","1,476","49,838","10,836","3,403","7,433","39,002","34,248","4,754","8,572","2,461","1,415","1,046","1,185","39,027","30,782","4,894","48,092","42,265","20,124"
Feb. 2015,"388,597","308,446","356,318","276,167","341,856","261,705","90,576","80,151","73,397","69,522","60,207","9,315","6,754","15,291","7,590","4,331","7,701","1,249","6,452","19,477","17,317",670,"1,665","52,150","47,165","45,357","3,397","23,604","19,651","32,279","18,093","12,641","2,746","6,491","1,289","2,646","2,620","5,421","2,864","1,157",682,"49,457","11,250","3,824","7,426",38207,"33,230","4,977","8,441","2,314","1,207","1,107","1,128","37,492","29,038","5,133","46,741","40,803","19,463"
Mar. 2015,"446,381","349,214","408,783","311,616","393,110","295,943","101,419","97,167","89,426","83,366","73,785","9,581","7,741","16,575","8,704","4,848","7,871","1,414","6,457","25,916","22,552",860,"1,970","56,733","51,222","49,168","3,761","26,266","21,870","37,598","20,835","15,513","3,486","8,110","1,459","2,998","2,134","6,524","3,734","1,320",652,"55,101","13,199","4,399","8,800",41902,"36,344","5,558","9,291","2,384","1,180","1,204","1,348","41,104","33,086","4,144","53,271","46,844","22,689"
Apr. 2015,"439,792","345,367","401,860","307,435","387,375","292,950","97,451","94,425","86,707","80,225","70,997","9,228","7,718","15,455","8,354","4,460","7,101","1,336","5,765","30,743","25,276",926,"2,133","55,697","50,114","48,014","3,768","25,048","21,058","37,932","20,485","15,152","3,412","7,999","1,349","2,812","2,298","6,234","3,616","1,222",647,"52,841","12,354","4,425","7,929","40,487","35,097","5,390","9,378","2,436","1,147","1,289","1,297","39,137","32,544","2,517","52,417","45,616","22,667"
May 2015,"465,030","366,818","422,790","324,578","409,482","311,270","105,974","98,212","90,528","83,663","74,860","8,803","7,684","16,615","8,999","4,978","7,616","1,514","6,102","32,453","26,554",947,"2,247","59,290","53,189","50,871","4,222","24,975","20,958","42,240","22,260","16,221","3,689","8,601","1,365","2,950","2,851","6,630","3,877","1,232",745,"57,936","13,704","4,851","8,853","44,232","38,378","5,854","10,905","2,533","1,088","1,445","1,350","37,966","32,195","1,840","55,548","48,631","23,868"
Jun. 2015,"449,965","354,573","407,101","311,709","397,821","302,429","100,170","95,392","87,307","80,525","71,930","8,595","8,085","16,599","8,686","4,743","7,913","1,525","6,388","30,854","26,254","1,048","2,119","56,819","50,889","48,598","4,104","25,184","20,977","42,864","19,781","14,643","3,187","7,815","1,409","2,599","2,345","6,723","4,150","1,154",678,"54,651","12,595","4,160","8,435","42,056","36,489","5,567","10,399","2,416","1,040","1,376","1,313","38,555","32,731","1,697","52,144","45,988","23,080"
Jul. 2015,"459,763","361,147","415,778","317,162","406,554","307,938","102,594","98,616","90,404","84,187","75,549","8,638","8,212","17,101","9,231","4,926","7,870","1,538","6,332","29,846","26,299","1,046","2,056","59,288","53,016","50,610","4,409","25,334","21,250","43,985","20,694","15,303","3,148","8,465","1,360","2,948","2,224","6,782","4,154","1,188",687,"55,392","12,605","4,029","8,576","42,787","37,224","5,563","10,358","2,625","1,141","1,484","1,435","39,158","33,439","1,680","53,209","46,949","23,690"
Aug. 2015,"458,128","359,341","416,089","317,302","404,920","306,133","107,967","98,787","90,924","85,270","76,661","8,609","7,863","17,332","9,275","5,073","8,057","1,431","6,626","27,116","24,088",995,"2,018","57,951","51,991","49,709","4,140","25,248","21,012","42,039","22,452","16,248","3,347","8,776","1,523","3,748","2,252","7,895","4,385","1,196","1,532","57,298","13,726","4,330","9,396","43,572","38,086","5,486","10,391","2,990","1,558","1,432","1,483","38,411","33,043","1,605","53,208","46,765","23,422"
Sep. 2015,"432,762","341,145","395,081","303,464","381,992","290,375","98,038","91,617","84,006","78,849","70,931","7,918","7,611","17,067","9,097","5,141","7,970","1,464","6,506","26,881","23,965",979,"1,864","55,767","50,082","47,929","3,955","25,619","21,485","37,681","19,266","14,350","3,105","7,738","1,286","2,679","2,035","6,850","3,697","1,280","1,052","52,186","12,095","4,180","7,915","40,091","34,733","5,358","9,691","2,669","1,290","1,379","1,402","39,367","33,617","1,796","50,770","43,531","21,947"
Oct. 2015,"446,636","355,375","408,513","317,252","392,604","301,343","103,592","91,261","83,299","78,524","70,389","8,135","7,962","17,031","9,241","4,999","7,790","1,398","6,392","27,669","24,378",950,"2,063","57,684","51,794","49,665","4,145","26,131","22,081","38,123","20,794","15,645","3,424","8,574","1,316","2,774","2,163","6,423","3,468","1,430",709,"56,247","13,040","4,416","8,624","43,207","37,411","5,796","10,278","3,097","1,125","1,972","1,530","40,963","34,579","2,320","54,032","46,422","23,090"
Nov. 2015,"446,247","361,351","412,184","327,288","396,058","311,162","114,998","84,896","77,548","73,840","66,459","7,381","7,348","19,542","9,617","5,054","9,925","1,550","8,375","26,077","23,110",767,"1,891","57,089","51,133","49,137","4,135","25,315","21,127","34,063","23,175","17,457","3,619","9,834","1,422","2,913","2,579","7,591","3,879","2,166",714,"62,220","16,460","6,011","10,449","45,760","39,732","6,028","9,686","2,470","1,049","1,421","1,327","46,404","40,175","2,395","50,189","43,638","21,662"
Dec. 2015,"518,589","424,588","484,925","390,924","464,035","370,034","149,647","94,001","86,732","82,313","75,047","7,266","7,269","23,434","11,057","5,279","12,377","1,604","10,773","26,234","22,999",731,"1,958","62,160","53,846","51,873","5,634","30,006","24,619","33,664","33,590","22,927","4,811","12,610","1,946","4,144","6,044","12,083","6,212","3,572","1,298","76,960","23,210","9,271","13,939","53,750","46,079","7,671","11,156","3,580","1,256","2,324","1,354","60,747","53,731","2,835","54,554","47,927","23,079"
