Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2001,"250,746","191,485","230,657","171,396","226,791","167,530","60,886","59,261","54,751","51,954","47,306","4,648","4,510","14,072","7,050","4,052","7,022",996,"6,026","15,734","13,744",576,"1,089","36,332","33,236","31,657","2,109","13,319","11,414","20,089","10,060","7,211","1,946","3,444",610,"1,406","1,322","4,971","1,739",880,"1,585","28,627","15,153","5,834","9,319","13,474","11,198","2,276","7,687","3,156","2,013","1,143",708,"16,639","9,343","4,094","23,955","20,613","9,933"
Feb. 2001,"247,772","186,254","228,837","167,319","223,971","162,453","60,888","61,518","57,070","54,168","49,251","4,917","4,448","13,376","6,797","3,930","6,579",938,"5,641","15,638","13,643",571,"1,060","34,585","31,488","29,913","2,052","12,862","10,958","18,935","11,450","7,820","2,154","3,748",607,"1,537","1,960","4,486","1,704",971,"1,070","28,502","15,220","6,206","9,014",13282,"10,919","2,363","7,996","3,074","1,781","1,293",784,"14,623","8,333","3,106","23,801","20,547","9,901"
Mar. 2001,"280,449","209,049","259,652","188,252","253,439","182,039","68,273","71,400","66,213","62,034","56,675","5,359","5,187","14,556","7,572","4,350","6,984","1,043","5,941","18,978","16,488",693,"1,287","38,321","34,856","33,084","2,327","13,991","11,814","20,797","13,067","9,492","2,671","4,575",704,"1,867","1,569","5,208","2,111","1,176","1,062","32,261","17,229","6,884","10,345",15032,"12,387","2,645","8,620","3,181","1,839","1,342",856,"16,240","9,710","2,802","27,010","23,239","11,370"
Apr. 2001,"274,925","207,647","253,264","185,986","249,062","181,784","67,528","67,278","62,174","57,327","52,336","4,991","5,104","13,077","6,940","3,886","6,137",999,"5,138","22,735","18,241",739,"1,437","37,122","33,685","31,911","2,231","13,466","11,430","21,661","13,362","9,676","2,801","4,750",636,"2,035","1,534","4,843","2,071","1,063",934,"33,370","17,969","7,089","10,880","15,401","12,616","2,785","7,889","2,876","1,503","1,373",759,"14,259","8,898","2,001","25,863","22,217","10,952"
May 2001,"296,013","221,671","272,163","197,821","268,658","194,316","71,133","74,342","68,857","63,534","58,144","5,390","5,485","14,087","7,551","4,148","6,536","1,079","5,457","25,115","20,031",814,"1,655","39,793","36,068","34,154","2,470","14,226","12,064","23,850","13,787","9,674","2,747","4,768",701,"2,007","1,977","5,145","2,185","1,038","1,070","34,991","18,535","7,256","11,279","16,456","13,487","2,969","9,130","3,123","1,586","1,537",796,"14,192","9,214","1,657","27,355","23,460","11,508"
Jun. 2001,"287,881","215,142","264,637","191,898","260,315","187,576","69,654","72,739","67,292","62,193","57,024","5,169","5,447","14,273","7,491","4,223","6,782","1,166","5,616","22,931","19,188",829,"1,570","39,006","35,215","33,317","2,526","13,663","11,597","23,244","12,935","9,292","2,507","4,651",719,"1,890","1,617","5,323","2,352","1,107","1,077","34,201","17,841","6,732","11,109","16,360","13,619","2,741","8,614","2,922","1,487","1,435",745,"13,386","8,908","1,460","27,566","23,725","11,584"
Jul. 2001,"279,098","210,053","257,026","187,981","251,504","182,459","67,991","69,045","63,657","58,994","54,088","4,906","5,388","14,214","7,456","4,145","6,758","1,142","5,616","21,200","18,559",830,"1,456","39,182","35,418","33,437","2,483","13,518","11,515","22,072","12,600","9,055","2,311","4,663",669,"1,898","1,519","5,076","2,199","1,094","1,005","33,188","17,025","6,252","10,773","16,163","13,438","2,725","8,355","2,913","1,520","1,393",785,"13,054","8,727","1,388","27,594","24,019","11,698"
Aug. 2001,"294,763","221,436","272,110","198,783","266,460","193,133","75,761","73,327","67,607","63,267","58,125","5,142","5,720","15,247","7,971","4,332","7,276","1,226","6,050","21,084","19,031",863,"1,433","39,683","35,919","33,920","2,518","14,046","11,919","22,653","14,818","10,567","2,661","5,384",751,"2,448","1,667","6,162","2,382","1,065","1,820","35,971","19,083","7,497","11,586","16,888","14,086","2,802","9,024","3,563","2,090","1,473",782,"14,445","9,551","1,615","28,303","24,531","11,789"
Sep. 2001,"261,924","200,982","240,545","179,603","236,210","175,268","66,261","60,942","56,032","52,943","48,652","4,291","4,910","13,548","7,078","3,950","6,470","1,047","5,423","18,749","16,828",684,"1,324","37,821","34,379","32,574","2,316","12,963","11,132","21,379","12,104","8,910","2,394","4,462",615,"1,708","1,383","5,332","1,984","1,050","1,406","32,360","16,676","6,489","10,187","15,684","13,173","2,511","7,862","2,917","1,697","1,220",803,"13,150","8,420","1,703","25,714","21,899","10,657"
Oct. 2001,"291,596","212,062","271,162","191,628","265,188","185,654","70,307","79,534","74,222","70,850","65,947","4,903","5,312","14,290","7,603","4,131","6,687","1,164","5,523","20,965","18,712",791,"1,382","38,375","34,847","33,026","2,409","14,312","12,335","20,434","13,218","9,815","2,615","4,918",722,"1,718","1,575","5,154","1,882","1,303","1,015","34,581","17,800","6,922","10,878","16,781","14,042","2,739","8,551","3,064","1,648","1,416",799,"15,774","10,118","1,996","26,408","22,504","11,033"
