Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2013,"375,497","306,113","333,736","264,352","333,695","264,311","86,318","69,384","62,999","59,981","53,205","6,776","6,385","15,472","7,304","3,974","8,168","1,241","6,927","19,289","17,035",659,"1,484","51,649","47,094","45,248","3,143","23,283","19,792","41,761","15,173","11,303","2,660","5,660","1,037","1,896","1,796","6,528","3,070","1,032","1,660","46,647","11,314","3,726","7,588","35,333","31,057","4,276","8,082","2,498","1,544",954,"1,174","36,427","27,941","5,017","41,802","36,469","17,932"
Feb. 2013,"373,989","300,867","331,762","258,640","332,486","259,364","89,328","73,122","66,622","63,191","54,769","8,422","6,500","15,363","7,102","3,998","8,261","1,291","6,970","18,641","16,373",624,"1,424","48,596","43,863","42,051","3,212","21,727","18,158","42,227","17,408","12,251","2,800","6,316","1,146","2,412","2,550","5,589","3,016","1,083",740,"48,546","12,045","4,104","7,941",36501,"31,929","4,572","8,164","2,422","1,368","1,054","1,142","33,103","25,052","4,634","41,503","36,043","17,698"
Mar. 2013,"421,748","337,981","374,019","290,252","374,171","290,404","100,647","83,767","76,636","71,697","63,410","8,287","7,131","16,179","7,893","4,493","8,286","1,380","6,906","23,120","19,736",738,"1,629","54,258","48,910","46,877","3,603","23,509","19,535","47,729","20,605","15,378","3,724","7,980","1,348","2,863","2,149","6,623","3,830","1,254",705,"54,708","13,922","4,770","9,152",40786,"35,672","5,114","8,906","2,532","1,363","1,169","1,271","34,767","27,022","4,017","47,577","41,456","20,334"
Apr. 2013,"408,539","326,881","361,727","280,069","362,964","281,306","92,437","81,658","74,542","69,010","61,550","7,460","7,116","14,692","7,334","3,996","7,358","1,310","6,048","28,756","23,779",833,"1,883","50,382","45,367","43,327","3,463","22,787","19,053","46,812","19,209","14,116","3,501","7,300","1,192","2,644","2,249","5,952","3,427","1,120",662,"50,120","12,559","4,510","8,049","37,561","32,722","4,839","8,911","2,464","1,302","1,162","1,199","33,685","27,101","2,876","45,575","39,290","19,651"
May 2013,"437,188","350,288","387,997","301,097","389,681","302,781","100,614","86,900","79,443","73,189","65,939","7,250","7,457","15,753","7,862","4,239","7,891","1,481","6,410","32,624","26,417",906,"2,041","55,266","49,616","47,388","3,916","23,527","19,666","49,191","20,815","15,163","3,730","7,986","1,198","2,674","2,724","6,375","3,656","1,129",818,"54,967","14,033","4,968","9,065","40,934","35,531","5,403","10,323","2,704","1,257","1,447","1,267","33,940","27,712","2,200","47,507","41,189","20,642"
Jun. 2013,"414,779","331,985","366,297","283,503","369,316","286,522","96,812","82,794","75,609","69,757","62,718","7,039","7,185","15,456","7,589","4,112","7,867","1,407","6,460","27,664","23,382",863,"1,924","53,261","47,840","45,633","3,776","22,081","18,394","48,482","18,976","14,137","3,259","7,489","1,266","2,479","2,141","6,498","3,953","1,068",722,"53,376","13,334","4,515","8,819","40,042","34,923","5,119","9,266","2,506","1,151","1,355","1,239","31,462","25,814","1,784","45,463","39,910","20,127"
Jul. 2013,"422,478","336,212","372,656","286,390","376,974","290,708","96,602","86,266","78,799","73,338","66,296","7,042","7,467","16,077","8,014","4,266","8,063","1,498","6,565","27,372","23,881",922,"1,823","54,529","48,871","46,574","3,994","23,006","19,292","49,822","19,211","14,323","3,168","7,860","1,131","2,648","2,020","6,438","3,817","1,118",702,"52,091","12,606","4,077","8,529","39,485","34,478","5,007","9,355","2,785","1,290","1,495","1,301","32,807","27,064","1,901","45,504","40,103","20,486"
Aug. 2013,"435,144","346,189","385,588","296,633","388,227","299,272","104,846","88,955","81,249","75,865","68,506","7,359","7,706","16,907","8,506","4,605","8,401","1,477","6,924","26,004","23,015",936,"1,821","55,120","49,388","47,055","4,057","23,301","19,366","49,556","21,597","15,652","3,465","8,366","1,318","3,560","2,150","7,700","4,158","1,155","1,561","55,377","14,154","4,636","9,518","41,223","36,141","5,082","9,860","3,265","1,786","1,479","1,393","33,850","27,921","1,976","46,917","41,017","20,621"
Sep. 2013,"396,348","320,563","350,283","274,498","352,680","276,895","93,003","75,785","68,810","64,583","58,254","6,329","6,975","15,745","7,894","4,303","7,851","1,409","6,442","24,182","21,386",823,"1,701","51,747","46,600","44,407","3,588","22,703","19,010","46,065","18,144","13,479","3,273","7,068","1,050","2,449","2,002","6,327","3,229","1,171","1,101","50,054","12,513","4,393","8,120","37,541","32,700","4,841","9,272","2,733","1,419","1,314","1,223","32,656","26,932","2,234","43,668","37,364","18,850"
Oct. 2013,"415,853","336,732","369,343","290,222","369,773","290,652","98,312","79,121","71,380","67,362","60,581","6,781","7,741","16,138","8,110","4,312","8,028","1,449","6,579","25,999","22,836",835,"1,853","53,744","48,395","46,195","3,741","23,998","20,246","46,510","19,889","14,824","3,491","7,998","1,070","2,621","2,232","6,044","3,160","1,348",715,"53,092","13,330","4,632","8,698","39,762","34,494","5,268","10,040","3,149","1,304","1,845","1,417","35,198","28,297","3,017","46,080","39,271","19,731"
