Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2020,"479,343","387,589","439,807","348,053","416,285","324,531","93,680","91,754","84,229","79,743","70,881","8,862","7,525","16,449","9,386","5,095","7,063","1,240","5,823","26,878","23,644",952,"2,160","64,048","58,230","55,720","4,178","29,186","24,384","39,536","16,831","12,327","2,477","6,832","1,200","2,167","2,054","5,764","2,946","1,160",957,"52,574","8,379","2,140","6,239","44,195","38,246","5,949","10,157","2,062",969,"1,093","1,530","63,108","54,295","4,198","63,058","54,773","27,169"
Feb. 2020,"478,065","382,188","441,264","345,387","413,203","317,326","96,496","95,877","88,648","83,339","72,930","10,409","7,229","16,003","9,344","5,240","6,659","1,240","5,419","26,116","22,940",949,"2,065","61,290","55,239","52,754","4,301","27,972","23,106","36,801","19,208","13,476","2,745","7,457","1,313","2,773","2,635","5,520","3,054","1,185",569,"53,782","8,967","2,470","6,497",44815,"38,702","6,113","10,038","1,983",824,"1,159","1,591","60,596","52,377","3,516","64,862","55,733","27,139"
Mar. 2020,"477,715","397,281","443,627","363,193","428,285","347,851","94,444","80,434","72,964","67,153","58,108","9,045","7,470","13,815","8,037","4,452","5,778","1,283","4,495","31,960","27,844","1,124","2,518","80,050","73,003","70,486","5,224","31,102","26,875","34,088","10,958","7,618","1,568","4,204",766,"1,730","1,427","5,186","3,399",850,388,"62,810","8,067","1,303","6,764",54743,"46,965","7,778","9,273","1,675",878,797,"1,069","68,609","60,721","2,965","49,430","42,948","24,236"
Apr. 2020,"406,411","338,757","379,743","312,089","375,242","307,588","68,075","67,654","60,688","54,970","48,807","6,163","6,966","6,865","3,852","1,962","3,013","1,125","1,888","35,674","29,850",988,"3,026","70,085","63,454","61,281","4,905","25,764","23,778","26,668","2,761","1,783",535,664,238,473,474,"3,427","2,565",354,168,"54,179","5,880",11,"5,869","48,299","40,927","7,372","7,033",843,613,230,454,"75,132","69,348","2,026","31,169","28,161","20,037"
May 2020,"504,187","399,853","472,260","367,926","460,253","355,919","90,069","104,334","95,842","85,759","75,633","10,126","8,492","11,059","7,145","4,187","3,914","1,434","2,480","42,102","35,752","1,142","3,740","75,263","67,331","64,732","5,909","26,360","23,504","31,927","8,696","5,509","1,175","3,003",548,"1,662","1,436","6,216","4,307","1,100",259,"62,824","8,686","1,048","7,638","54,138","45,748","8,390","9,462","1,274",718,556,946,"82,010","76,303","1,702","43,934","40,687","26,588"
Jun. 2020,"532,357","421,457","496,188","385,288","478,667","367,767","101,364","110,900","101,637","90,539","79,262","11,277","9,263","15,295","9,712","5,613","5,583","1,671","3,912","41,746","36,142","1,301","3,604","70,557","62,806","60,175","5,734","28,465","24,479","36,169","16,260","11,057","2,187","6,760",901,"2,756","2,259","8,203","5,779","1,395",366,"59,878","8,964","1,519","7,445","50,914","43,015","7,899","10,907","1,728",793,935,"1,336","80,287","74,054","1,539","53,690","49,679","28,914"
Jul. 2020,"549,264","436,568","510,555","397,859","492,259","379,563","105,142","112,696","103,574","93,868","82,206","11,662","9,122","16,796","10,318","5,835","6,478","1,717","4,761","39,078","34,597","1,339","3,273","73,681","65,575","62,788","6,055","29,781","25,249","38,709","17,567","12,078","2,567","6,875","1,095","2,786","2,461","7,826","5,335","1,383",412,"60,813","9,285","1,585","7,700","51,528","43,885","7,643","11,418","2,140",885,"1,255","1,397","83,894","76,719","1,562","57,005","52,664","30,352"
Aug. 2020,"546,379","434,188","507,832","395,641","487,134","374,943","107,774","112,191","103,251","94,808","83,380","11,428","8,940","17,555","10,790","5,821","6,765","1,730","5,035","36,360","32,375","1,286","3,137","70,899","63,141","60,340","5,759","29,146","24,544","38,547","18,694","12,877","2,590","7,543","1,081","2,890","2,638","7,990","5,047","1,479",725,"61,205","9,765","1,731","8,034","51,440","44,035","7,405","11,387","2,330","1,125","1,205","1,607","83,160","76,270","1,587","59,245","54,107","30,169"
Sep. 2020,"532,094","422,824","495,050","385,780","474,284","365,014","102,992","109,270","100,698","93,523","83,179","10,344","8,572","17,227","10,844","6,092","6,383","1,646","4,737","36,597","32,381","1,298","3,004","68,100","60,565","57,941","5,527","29,699","25,007","37,044","18,449","12,833","2,665","7,334","1,072","2,675","2,637","7,596","4,699","1,551",583,"57,435","9,072","1,776","7,296","48,363","41,015","7,348","11,113","2,285",986,"1,299","1,465","81,754","74,394","1,836","57,810","52,069","28,901"
Oct. 2020,"554,838","443,939","516,878","405,979","494,134","383,235","109,605","110,899","102,211","95,065","84,848","10,217","8,688","17,640","10,859","6,003","6,781","1,699","5,082","37,217","32,732","1,282","3,015","70,333","62,506","59,872","5,704","30,864","26,189","37,960","19,764","14,078","2,823","8,251","1,090","2,739","2,626","7,453","4,581","1,641",427,"61,958","9,615","1,901","7,714","52,343","44,520","7,823","11,889","2,790",816,"1,974","1,733","88,157","79,501","2,203","60,704","54,596","30,120"
