Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2019,"456,012","367,860","419,473","331,321","399,359","311,207","91,522","88,152","80,894","76,430","67,212","9,218","7,258","16,043","8,846","4,638","7,197","1,222","5,975","26,749","23,545",897,"2,114","63,043","57,392","55,089","3,944","28,715","24,273","36,539","16,223","11,988","2,353","6,636","1,193","2,215","1,791","5,590","2,750","1,130","1,005","51,637","8,669","2,365","6,304","42,968","37,094","5,874","9,130","2,029","1,010","1,019","1,333","57,538","48,247","4,681","56,653","50,003","25,273"
Feb. 2019,"441,793","351,812","406,180","316,199","384,977","294,996","90,917","89,981","82,826","77,833","67,726","10,107","7,155","15,258","8,659","4,628","6,599","1,204","5,395","24,154","21,162",844,"1,934","57,121","51,505","49,258","3,929","26,854","22,470","35,613","18,032","12,541","2,511","6,941","1,227","2,760","2,487","5,196","2,845","1,086",574,"50,502","9,094","2,646","6,448",41408,"35,654","5,754","8,924","1,929",830,"1,099","1,309","53,342","45,102","4,010","56,816","49,740","24,968"
Mar. 2019,"513,263","402,605","471,079","360,421","447,160","336,502","106,574","110,658","102,237","95,149","82,765","12,384","8,421","17,283","10,054","5,517","7,229","1,366","5,863","30,056","25,990","1,011","2,367","63,785","57,486","54,888","4,462","28,885","23,719","42,184","22,148","16,245","3,362","9,107","1,473","3,435","2,198","6,289","3,662","1,262",592,"58,713","10,593","3,085","7,508",48120,"41,563","6,557","10,002","2,141",885,"1,256","1,487","57,157","48,892","3,760","66,103","57,912","29,609"
Apr. 2019,"506,157","402,501","461,767","358,111","442,704","339,048","102,943","103,656","95,380","87,858","77,114","10,744","8,276","16,149","9,617","5,078","6,532","1,343","5,189","34,179","29,362",966,"2,543","62,672","56,318","53,660","4,375","28,518","23,900","44,390","21,582","15,844","3,365","8,794","1,298","3,097","2,378","6,188","3,641","1,155",639,"56,870","10,393","3,102","7,291","46,477","39,840","6,637","10,471","2,154",845,"1,309","1,543","58,029","50,717","2,624","63,453","55,371","28,561"
May 2019,"543,388","431,338","495,880","383,830","475,656","363,606","110,486","112,050","103,488","95,059","84,145","10,914","8,562","17,495","10,334","5,580","7,161","1,509","5,652","37,383","32,325","1,174","2,852","66,803","59,932","57,008","4,881","29,612","24,750","47,508","23,152","16,840","3,555","9,430","1,395","3,078","2,896","6,455","3,788","1,231",684,"60,900","11,237","3,291","7,946","49,663","42,618","7,045","12,337","2,484",825,"1,659","1,409","61,961","54,534","2,200","67,732","59,375","30,041"
Jun. 2019,"514,479","409,674","469,496","364,691","448,224","343,419","105,820","104,805","96,663","88,735","78,334","10,401","8,142","16,811","9,785","5,343","7,026","1,434","5,592","33,623","29,363","1,158","2,611","64,731","58,025","55,157","4,789","27,768","22,821","44,983","21,175","15,730","3,045","9,049","1,493","2,858","2,284","6,602","4,125","1,164",603,"58,882","10,568","3,017","7,551","48,314","41,660","6,654","11,140","2,350",749,"1,601","1,382","57,704","50,993","1,787","66,255","58,610","29,735"
Jul. 2019,"528,010","418,760","481,518","372,268","461,642","352,392","107,295","109,250","100,781","93,174","82,621","10,553","8,469","17,423","10,210","5,500","7,213","1,561","5,652","33,773","30,018","1,235","2,559","66,640","59,654","56,699","5,013","28,292","23,570","46,492","21,800","15,967","3,029","9,280","1,465","3,165","2,394","6,566","4,095","1,172",580,"58,919","10,772","2,942","7,830","48,147","41,590","6,557","11,172","2,587",889,"1,698","1,427","61,315","54,429","1,857","66,368","59,081","30,180"
Aug. 2019,"541,276","426,850","495,208","380,782","472,891","358,465","114,271","114,426","105,737","98,663","88,042","10,621","8,689","18,187","10,631","5,705","7,556","1,501","6,055","32,436","28,969","1,249","2,567","67,062","60,065","57,102","5,036","28,694","23,688","46,068","23,906","17,026","3,106","10,060","1,486","4,083","2,505","7,522","4,327","1,261","1,103","61,882","11,726","3,054","8,672","50,156","43,506","6,650","11,603","2,774","1,255","1,519","1,605","61,105","54,036","1,951","68,385","59,876","30,334"
Sep. 2019,"492,004","392,848","449,159","350,003","428,334","329,178","100,049","99,156","91,316","85,630","75,963","9,667","7,840","17,261","10,109","5,621","7,152","1,385","5,767","30,004","26,686","1,147","2,365","62,427","56,088","53,296","4,467","27,399","22,552","42,845","19,606","14,368","2,870","8,194","1,227","2,661","2,311","6,243","3,368","1,245",852,"54,615","9,685","2,857","6,828","44,930","38,692","6,238","10,616","2,324",893,"1,431","1,540","58,162","51,205","2,035","63,670","54,574","27,825"
Oct. 2019,"521,235","418,139","476,813","373,717","455,035","351,939","106,658","103,096","94,482","89,087","79,167","9,920","8,614","17,364","10,248","5,417","7,116","1,435","5,681","32,660","28,705","1,165","2,612","64,803","58,132","55,313","4,688","29,673","24,881","44,422","21,471","16,100","3,221","9,335","1,284","2,792","2,327","6,344","3,487","1,396",633,"58,628","10,381","2,918","7,463","48,247","41,447","6,800","11,806","2,851",833,"2,018","1,828","64,768","56,772","2,657","66,200","56,546","28,783"
