Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2006,"318,546","252,809","287,746","222,009","286,152","220,415","78,420","65,737","60,247","56,440","50,629","5,811","5,490","17,370","8,595","4,794","8,775","1,325","7,450","23,330","21,699",744,"1,343","41,168","37,489","35,773","2,424","17,892","15,257","30,800","12,893","9,489","2,518","4,670",824,"1,724","1,560","6,344","2,100","1,063","2,225","38,667","14,033","5,048","8,985","24,634","21,710","2,924","8,671","3,146","2,156",990,875,"23,280","15,811","3,861","32,394","28,260","13,746"
Feb. 2006,"314,051","246,599","284,798","217,346","282,417","214,965","79,008","67,452","62,018","57,559","51,314","6,245","5,434","16,693","8,457","4,804","8,236","1,298","6,938","22,823","21,119",716,"1,279","39,281","35,506","33,851","2,519","17,218","14,681","29,253","14,474","9,824","2,518","5,017",786,"1,919","2,600","5,171","2,154","1,022","1,101","39,537","14,800","5,717","9,083",24737,"21,697","3,040","8,550","3,133","1,870","1,263",777,"21,965","14,531","3,828","31,634","27,378","13,358"
Mar. 2006,"361,993","279,239","328,106","245,352","326,153","243,399","86,862","82,754","76,416","69,930","62,921","7,009","6,338","18,092","9,412","5,154","8,680","1,457","7,223","29,657","26,691",895,"1,554","42,901","38,827","36,978","2,753","19,024","16,174","33,887","16,386","12,148","3,194","6,223",902,"2,133","1,968","5,975","2,792","1,117","1,092","43,272","16,490","6,206","10,284",26782,"23,380","3,402","9,088","3,137","1,936","1,201",888,"25,117","17,046","3,797","35,840","30,970","15,290"
Apr. 2006,"351,667","275,487","315,665","239,485","316,526","240,346","85,932","76,180","70,287","63,333","56,863","6,470","5,893","16,346","8,556","4,647","7,790","1,363","6,427","31,112","26,428",847,"1,755","42,455","38,269","36,338","2,791","17,763","15,225","36,002","16,848","12,495","3,379","6,460",833,"2,342","1,876","5,665","2,713","1,094",987,"44,249","16,811","6,194","10,617","27,438","24,005","3,433","8,735","2,824","1,599","1,225",891,"21,171","15,024","2,523","35,141","30,142","14,855"
May 2006,"373,560","292,043","334,544","253,027","337,393","255,876","89,166","81,517","75,339","67,661","61,023","6,638","6,178","17,583","9,209","4,881","8,374","1,471","6,903","34,154","29,070",982,"2,004","44,850","40,341","38,267","3,017","19,038","16,271","39,016","17,103","12,204","3,340","6,270",845,"2,178","2,568","5,911","2,776","1,040","1,176","45,394","17,005","6,437","10,568","28,389","24,820","3,569","10,156","3,175","1,735","1,440",862,"22,671","16,071","2,432","36,167","31,104","15,367"
Jun. 2006,"366,615","286,016","327,489","246,890","330,844","250,245","88,412","80,599","74,196","66,999","60,477","6,522","6,403","17,956","9,447","5,006","8,509","1,503","7,006","31,748","27,883",985,"1,877","44,052","39,569","37,510","3,055","18,454","15,720","39,126","16,505","12,178","3,183","6,342",904,"2,055","2,122","6,113","3,012","1,048","1,238","44,758","16,706","6,058","10,648","28,052","24,528","3,524","9,624","3,080","1,650","1,430",848,"21,909","15,795","2,294","35,771","30,986","15,335"
Jul. 2006,"362,203","281,314","321,618","240,729","325,905","245,016","86,913","80,889","74,707","68,328","61,957","6,371","6,182","17,695","9,244","4,986","8,451","1,518","6,933","28,225","25,437",918,"1,752","44,899","40,357","38,247","3,117","18,006","15,426","40,585","16,275","12,107","2,923","6,551",864,"2,103","1,928","5,905","2,872","1,070","1,135","43,941","16,025","5,694","10,331","27,916","24,545","3,371","8,970","3,097","1,614","1,483",754,"20,515","14,768","2,131","36,298","31,548","15,608"
Aug. 2006,"375,795","292,798","334,744","251,747","339,155","256,158","92,998","82,997","76,418","70,525","63,872","6,653","6,579","18,991","9,940","5,359","9,051","1,569","7,482","29,303","26,886",998,"1,726","44,784","40,340","38,231","3,024","18,813","16,092","41,051","17,832","12,948","2,960","7,008",961,"2,645","2,093","7,213","3,085","1,043","2,142","45,185","16,997","6,236","10,761","28,188","24,737","3,451","9,663","3,777","2,285","1,492",846,"23,323","16,897","2,497","36,640","31,728","15,664"
Sep. 2006,"346,214","273,214","311,384","238,384","310,775","237,775","87,134","73,000","66,970","61,990","55,786","6,204","6,030","17,881","9,511","5,128","8,370","1,482","6,888","26,467","24,150",884,"1,598","43,148","38,766","36,817","2,997","18,100","15,483","34,830","16,767","12,435","3,164","6,516",832,"2,174","2,017","6,442","2,752","1,086","1,554","42,594","15,781","5,918","9,863","26,813","23,513","3,300","9,242","3,450","2,031","1,419",873,"22,304","16,050","2,382","35,439","30,094","14,680"
Oct. 2006,"348,796","278,431","315,588","245,223","312,976","242,611","88,479","70,365","64,170","59,614","53,468","6,146","6,195","17,236","9,178","4,854","8,058","1,464","6,594","27,821","25,298",900,"1,654","43,709","39,322","37,407","2,913","18,892","16,382","33,208","17,253","12,964","3,197","6,936",859,"2,157","1,993","5,693","2,447","1,205","1,054","44,707","16,675","6,158","10,517","28,032","24,515","3,517","9,512","3,590","1,793","1,797",920,"24,580","17,497","2,945","35,820","30,416","14,936"
Nov. 2006,"356,928","289,416","325,372","257,860","323,089","255,577","102,281","67,512","61,655","57,344","51,710","5,634","5,857","20,534","10,195","5,241","10,339","1,594","8,745","25,932","23,414",795,"1,691","44,640","39,989","38,171","3,137","18,890","16,252","31,556","19,391","14,375","3,414","7,910",966,"2,214","2,630","6,855","2,710","1,933","1,142","51,829","21,167","7,982","13,185","30,662","26,605","4,057","9,621","3,672","1,875","1,797",907,"26,329","19,037","3,179","33,839","29,023","14,084"
Dec. 2006,"417,991","346,996","385,329","314,334","380,188","309,193","144,550","70,995","65,299","61,075","55,602","5,473","5,696","26,509","11,051","5,268","15,458","1,701","13,757","23,558","21,307",668,"1,750","49,345","42,924","41,102","4,269","21,246","18,055","32,662","31,462","21,379","5,019","11,809","1,466","3,038","6,748","11,247","4,456","3,299","2,132","70,123","30,665","12,649","18,016","39,458","33,901","5,557","11,862","5,209","2,244","2,965",972,"31,179","23,724","3,611","37,803","32,631","15,266"
