Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2018,"444,327","356,151","405,314","317,138","389,740","301,564","90,522","88,176","80,938","76,832","67,831","9,001","7,238","16,151","8,864","4,717","7,287","1,230","6,057","23,590","21,144",804,"1,962","60,330","54,857","52,584","3,789","27,686","23,552","39,013","15,803","11,685","2,332","6,311","1,217","2,063","1,845","5,920","2,785","1,187","1,206","50,501","9,122","2,651","6,471","41,379","35,852","5,527","9,482","2,147","1,067","1,080","1,309","53,088","43,214","5,829","54,587","47,848","23,659"
Feb. 2018,"435,428","345,780","398,482","308,834","380,598","290,950","92,465","89,648","82,623","77,696","67,580","10,116","7,025","15,656","8,686","4,796","6,970","1,225","5,745","23,576","20,835",823,"1,859","56,415","50,910","48,650","3,789","25,652","21,352","36,946","18,451","12,979","2,657","7,049","1,247","2,678","2,562","5,624","3,038","1,230",633,"50,659","9,664","3,055","6,609",40995,"35,348","5,647","9,255","2,075",887,"1,188","1,361","48,716","40,773","3,807","54,830","47,594","23,477"
Mar. 2018,"508,469","398,809","466,193","356,533","444,925","335,265","108,240","109,660","101,345","94,487","83,004","11,483","8,315","17,742","10,165","5,667","7,577","1,421","6,156","29,844","25,785",996,"2,364","63,713","57,291","54,691","4,432","28,458","23,359","42,276","22,249","16,454","3,469","9,066","1,466","3,251","2,288","6,988","3,803","1,719",651,"58,946","11,464","3,640","7,824",47482,"40,992","6,490","10,360","2,315",950,"1,365","1,537","54,689","46,305","3,585","63,544","55,369","27,539"
Apr. 2018,"480,490","381,105","437,809","338,424","420,209","320,824","98,876","99,385","91,618","84,285","74,537","9,748","7,767","16,180","9,347","5,010","6,833","1,321","5,512","32,140","27,533","1,017","2,415","59,508","53,595","50,941","4,139","27,139","22,544","42,681","20,516","15,027","3,362","8,058","1,264","2,899","2,341","6,261","3,545","1,358",622,"53,723","10,552","3,548","7,004","43,171","37,158","6,013","10,134","2,196",859,"1,337","1,429","52,542","45,010","2,822","60,281","52,262","26,206"
May 2018,"528,350","419,185","480,775","371,610","464,271","355,106","110,565","109,165","100,782","92,614","82,287","10,327","8,383","17,497","10,098","5,377","7,399","1,506","5,893","38,064","32,498","1,153","2,790","64,458","57,800","55,052","4,699","28,945","24,087","47,575","23,641","17,254","3,757","9,533","1,432","3,123","2,968","6,706","3,799","1,438",689,"60,249","12,003","3,857","8,146","48,246","41,393","6,853","12,204","2,472",865,"1,607","1,486","55,767","48,316","2,216","64,079","55,983","28,097"
Jun. 2018,"507,353","402,528","460,459","355,634","443,732","338,907","105,890","104,825","96,625","88,453","78,447","10,006","8,200","17,410","9,905","5,409","7,505","1,489","6,016","35,101","30,727","1,173","2,570","62,714","56,066","53,309","4,738","27,649","22,597","46,894","21,337","15,753","3,215","8,758","1,555","2,864","2,465","6,741","4,085","1,259",630,"57,997","11,154","3,419","7,735","46,843","40,463","6,380","11,209","2,405",801,"1,604","1,404","51,855","45,401","1,818","63,621","56,188","28,322"
Jul. 2018,"505,312","401,519","458,072","354,279","441,832","338,039","105,214","103,793","95,587","88,430","78,402","10,028","8,206","17,290","9,904","5,288","7,386","1,473","5,913","33,274","29,811","1,149","2,408","63,369","56,700","53,942","4,760","27,459","22,826","47,240","21,745","15,992","3,098","9,137","1,604","3,222","2,283","6,285","3,863","1,046",603,"57,297","10,970","3,271","7,699","46,327","40,054","6,273","10,540","2,597",923,"1,674","1,322","53,540","47,139","1,893","63,480","56,458","28,735"
Aug. 2018,"520,951","412,527","472,916","364,492","456,445","348,021","111,569","108,424","99,905","92,742","82,388","10,354","8,519","18,264","10,393","5,538","7,871","1,530","6,341","32,218","28,784","1,193","2,421","63,591","56,986","54,203","4,697","28,906","23,946","48,035","23,136","16,656","3,252","9,500","1,609","3,867","2,369","7,258","4,076","1,101","1,213","59,939","12,076","3,421","8,655","47,863","41,440","6,423","11,183","2,972","1,357","1,615","1,477","55,491","48,791","2,050","64,506","56,672","28,791"
Sep. 2018,"477,397","381,376","432,798","336,777","417,510","321,489","100,136","96,021","88,257","82,473","73,247","9,226","7,764","17,048","9,756","5,385","7,292","1,356","5,936","29,490","26,180","1,037","2,223","61,189","54,918","52,305","4,418","26,855","22,138","44,599","19,826","14,767","3,056","8,250","1,319","2,722","2,109","6,021","3,146","1,182",861,"54,739","10,361","3,189","7,172","44,378","38,168","6,210","10,209","2,502",943,"1,559","1,358","51,513","45,116","2,058","59,887","51,530","26,336"
Oct. 2018,"503,826","404,706","456,589","357,469","442,256","343,136","105,246","99,120","90,680","85,277","75,864","9,413","8,440","17,320","9,965","5,180","7,355","1,426","5,929","32,647","28,694","1,134","2,437","62,592","56,064","53,405","4,559","29,370","24,695","47,237","21,265","15,892","3,386","9,001","1,301","2,844","2,299","5,963","3,212","1,282",636,"57,598","10,990","3,323","7,667","46,608","40,022","6,586","11,448","3,100",862,"2,238","1,544","57,696","49,928","2,975","61,570","52,973","27,181"
