Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2012,"355,184","292,916","313,778","251,510","315,540","253,272","83,395","62,268","55,945","52,985","47,096","5,889","6,323","14,698","6,866","3,897","7,832","1,170","6,662","17,980","15,941",584,"1,419","49,834","45,462","43,576","2,995","22,743","19,401","41,406","14,358","10,686","2,544","5,211","1,039","1,851","1,674","6,049","2,505","1,072","1,716","45,643","11,430","3,768","7,662","34,213","30,180","4,033","7,969","2,647","1,657",990,"1,108","32,592","24,739","4,549","39,644","34,564","16,998"
Feb. 2012,"372,401","302,072","330,183","259,854","331,470","261,141","91,209","70,329","63,622","60,339","52,611","7,728","6,707","15,425","7,169","4,325","8,256","1,265","6,991","18,500","16,385",621,"1,359","48,850","44,174","42,275","3,202","22,608","19,056","42,218","17,931","12,618","3,036","6,538","1,074","2,545","2,607","5,520","2,723","1,192",821,"49,639","13,169","4,551","8,618",36470,"31,989","4,481","8,609","2,694","1,503","1,191","1,229","31,841","24,201","4,053","40,931","35,522","17,504"
Mar. 2012,"414,149","332,992","365,752","284,595","368,502","287,345","98,747","81,157","73,814","68,793","61,036","7,757","7,343","16,291","7,784","4,440","8,507","1,325","7,182","24,156","20,492",754,"1,705","52,549","47,408","45,239","3,550","23,840","19,943","48,397","20,162","15,205","3,840","7,878","1,229","2,719","2,056","6,536","3,607","1,270",756,"53,115","14,448","4,966","9,482",38667,"33,676","4,991","8,963","2,643","1,482","1,161","1,286","33,336","25,943","3,303","45,647","39,577","19,465"
Apr. 2012,"392,949","319,458","345,285","271,794","349,194","275,703","91,719","73,491","66,592","61,753","54,942","6,811","6,899","14,113","6,872","3,799","7,241","1,202","6,039","25,989","21,124",755,"1,917","50,842","45,754","43,700","3,409","22,607","19,050","47,664","18,601","14,003","3,592","7,118","1,136","2,480","1,953","5,967","3,304","1,156",742,"50,602","13,579","4,906","8,673","37,023","32,346","4,677","8,584","2,436","1,268","1,168","1,160","30,734","24,432","2,592","43,755","37,641","18,658"
May 2012,"418,608","338,812","369,410","289,614","373,129","293,333","97,833","79,796","72,489","67,056","60,389","6,667","7,307","15,638","7,683","4,193","7,955","1,400","6,555","29,379","24,075",851,"2,208","53,955","48,420","46,239","3,786","23,364","19,701","49,198","19,952","14,593","3,693","7,499","1,155","2,495","2,673","6,361","3,455","1,186",887,"53,095","14,111","5,028","9,083","38,984","33,976","5,008","9,725","2,787","1,364","1,423","1,214","32,666","26,383","2,300","45,479","39,103","19,531"
Jun. 2012,"400,975","325,021","354,492","278,538","356,083","280,129","95,541","75,954","68,658","63,327","56,669","6,658","7,296","15,387","7,378","4,075","8,009","1,413","6,596","25,774","22,024",868,"1,934","52,702","47,217","45,077","3,816","22,022","18,426","46,483","18,717","14,035","3,374","7,235","1,205","2,339","2,146","6,600","3,829","1,130",839,"52,280","13,909","4,807","9,102","38,371","33,616","4,755","9,438","2,557","1,254","1,303","1,164","30,726","25,035","1,998","44,892","38,903","19,549"
Jul. 2012,"396,026","320,787","349,368","274,129","351,520","276,281","93,547","75,239","68,005","63,359","56,948","6,411","7,234","15,741","7,551","4,145","8,190","1,374","6,816","23,921","21,113",869,"1,730","52,868","47,473","45,349","3,733","22,155","18,559","46,658","18,266","13,717","3,094","7,434","1,049","2,425","1,943","6,213","3,551","1,123",785,"50,734","13,145","4,489","8,656","37,589","32,994","4,595","9,146","2,593","1,302","1,291","1,180","30,579","25,015","2,057","44,506","38,988","19,658"
Aug. 2012,"417,922","337,194","367,727","286,999","372,986","292,258","101,703","80,728","73,174","68,421","61,184","7,237","7,554","16,538","8,064","4,370","8,474","1,410","7,064","24,169","21,511",925,"1,699","53,442","48,047","45,861","3,752","22,968","19,168","50,195","20,750","15,157","3,284","8,306","1,124","3,299","2,115","7,682","3,969","1,126","1,836","53,680","14,710","4,886","9,824","38,970","34,261","4,709","9,597","3,053","1,816","1,237","1,276","33,237","27,379","2,259","44,936","39,105","19,792"
Sep. 2012,"385,609","314,291","338,408","267,090","342,582","271,264","91,915","71,318","64,468","60,834","54,451","6,383","6,850","15,265","7,439","4,128","7,826","1,305","6,521","22,324","19,607",825,"1,551","51,123","46,047","44,017","3,503","21,365","17,847","47,201","18,391","13,714","3,339","7,018","1,045","2,431","2,044","6,290","3,161","1,158","1,097","49,325","13,123","4,677","8,446","36,202","31,725","4,477","8,885","2,644","1,462","1,182","1,225","31,095","25,451","2,358","43,027","36,535","18,371"
Oct. 2012,"399,400","327,099","350,417","278,116","355,823","283,522","93,919","72,301","64,855","61,304","54,854","6,450","7,446","14,917","7,260","3,792","7,657","1,299","6,358","24,658","21,465",814,"1,752","52,236","46,975","44,943","3,626","22,842","19,468","48,983","18,845","14,247","3,482","7,352","1,158","2,328","2,060","5,845","2,959","1,275",717,"51,395","13,482","4,662","8,820","37,913","33,048","4,865","9,595","2,917","1,375","1,542","1,300","34,206","27,483","3,023","43,577","37,241","18,964"
