Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2021,"518,300","417,671","481,306","380,677","462,558","361,929","100,170","100,629","92,943","87,117","77,391","9,726","7,686","17,275","10,432","6,009","6,843","1,606","5,237","30,890","26,897",983,"2,576","70,026","63,171","60,599","5,031","29,377","24,829","36,994","15,385","10,432","2,140","5,721","1,103","2,264","2,415","7,212","4,060","1,613",769,"58,475","8,236","1,265","6,971","50,239","43,445","6,794","10,285","1,823",903,920,"1,533","86,010","77,069","3,997","55,742","50,741","28,635"
Feb. 2021,"492,597","393,273","456,524","357,200","438,933","339,609","93,197","99,324","91,835","85,259","74,874","10,385","7,489","16,037","9,916","5,657","6,121","1,470","4,651","29,284","25,401",952,"2,410","64,261","57,543","55,126","4,910","27,599","23,193","36,073","16,102","10,488","2,149","5,735","1,042","2,200","3,129","6,256","3,754","1,416",430,"53,073","7,882","1,580","6,302",45191,"38,796","6,395","9,998","1,729",780,949,"1,472","80,926","71,736","4,296","53,664","48,074","25,964"
Mar. 2021,"634,945","493,286","588,937","447,278","565,764","424,105","124,196","141,659","131,491","120,463","104,050","16,413","10,168","20,276","12,401","7,074","7,875","1,930","5,945","43,010","36,990","1,358","3,188","70,946","63,134","60,297","5,658","33,452","27,661","46,008","23,616","16,032","3,255","9,134","1,500","3,746",(S),"9,323","6,035","1,941",513,"68,779","10,824","2,201","8,623",57955,"49,742","8,213","12,786","2,202",910,"1,292","1,929","95,909","86,133","3,651","69,181","62,126","32,837"
Apr. 2021,"629,451","490,560","582,495","443,604","557,874","418,983","117,693","138,891","129,053","117,514","101,980","15,534","9,838","19,297","11,951","6,770","7,346","1,829","5,517","46,533","39,531","1,358","3,443","69,944","62,163","59,212","5,645","31,960","26,721","46,956","23,115","15,858","3,267","9,031","1,372","3,425",(S),"8,786","5,760","1,742",481,"64,291","10,027","2,243","7,784","54,264","45,977","8,287","13,217","2,204",834,"1,370","2,024","94,884","85,806","2,538","71,577","64,024","33,241"
May 2021,"644,652","507,052","594,839","457,239","567,461","429,861","124,204","137,600","128,180","116,807","102,538","14,269","9,420","19,426","11,925","6,742","7,501","1,754","5,747","46,315","39,644","1,352","3,575","74,598","66,336","63,246","6,016","31,436","26,084","49,813","25,886","17,399","3,502","9,986","1,440","3,651",(S),"8,686","5,586","1,733",592,"67,916","11,189","2,695","8,494","56,727","48,125","8,602","13,723","2,290",789,"1,501","1,856","92,062","83,723","2,143","77,191","69,154","34,296"
Jun. 2021,"638,109","505,812","587,217","454,920","560,679","428,382","121,517","132,297","122,624","111,154","96,934","14,220","9,673","19,621","11,730","6,406","7,891","1,889","6,002","44,931","39,143","1,422","3,535","73,120","64,865","61,800","5,986","32,617","27,021","50,892","24,618","17,011","3,368","9,859","1,558","3,389",(S),"9,100","5,912","1,699",659,"65,694","10,798","2,538","8,260","54,896","46,910","7,986","14,266","2,484",779,"1,705","1,815","93,523","85,330","2,085","77,430","69,163","34,195"
Jul. 2021,"636,312","507,189","583,234","454,111","554,845","425,722","123,638","129,123","119,419","109,169","95,559","13,610","9,704","19,947","12,027","6,589","7,920","1,831","6,089","41,162","36,401","1,322","3,254","75,644","67,187","63,985","6,162","31,992","26,607","53,078","25,219","17,584","3,437","10,204","1,542","3,520",(S),"8,965","5,721","1,776",668,"66,868","10,958","2,453","8,505","55,910","48,139","7,771","14,369","2,639",815,"1,824","2,003","88,478","80,468","1,968","81,467","72,885","35,708"
Aug. 2021,"633,403","509,783","580,562","456,942","553,822","430,202","125,034","123,620","113,791","104,362","90,256","14,106","9,829","19,945","12,091","6,542","7,854","1,797","6,057","39,586","35,049","1,362","3,148","74,501","66,583","63,468","5,701","32,537","27,111","52,841","25,063","16,951","3,202","10,008","1,424","3,985",(S),"9,488","5,752","1,807","1,082","67,707","11,419","2,423","8,996","56,288","48,624","7,664","14,390","2,831","1,142","1,689","1,940","94,144","86,257","2,002","79,581","69,588","34,549"
Sep. 2021,"609,406","490,752","557,412","438,758","532,840","414,186","116,392","118,654","109,222","100,594","86,553","14,041","9,432","19,522","11,974","6,614","7,548","1,785","5,763","38,859","34,340","1,330","3,082","72,978","65,263","62,268","5,572","32,089","26,676","51,994","22,592","15,506","3,113","8,791","1,338","2,988",(S),"8,566","4,973","1,900",829,"62,955","10,223","2,347","7,876","52,732","45,212","7,520","14,230","2,757",926,"1,831","1,802","90,401","82,234","2,273","76,566","65,722","32,678"
Oct. 2021,"638,069","517,883","583,335","463,149","557,737","437,551","125,223","120,186","110,342","101,704","87,437","14,267","9,844","19,936","12,040","6,629","7,896","1,769","6,127","39,435","34,618","1,302","3,127","75,780","67,795","64,744","5,761","32,541","27,288","54,734","24,366","16,886","3,269","9,785","1,345","3,064",(S),"8,605","5,011","2,031",655,"69,188","11,103","2,539","8,564","58,085","49,965","8,120","14,988","3,128",781,"2,347","2,065","97,978","88,768","2,829","80,332","69,027","34,004"
Nov. 2021,"654,469","538,632","602,186","486,349","579,687","463,850","137,115","115,837","106,400","98,587","85,574","13,013","9,437","21,735","12,795","6,656","8,940","1,834","7,106","39,491","34,925","1,180","3,158","75,733","67,280","64,320","6,021","32,432","26,784","52,283","28,725","20,052","3,823","11,933","1,502","3,340",(S),"10,040","5,624","2,850",665,"74,215","13,079","3,346","9,733","61,136","52,309","8,827","14,565","2,400",750,"1,650","2,169","114,631","104,804","3,700","74,782","64,830","32,407"
Dec. 2021,"711,673","589,369","659,844","537,540","632,849","510,545","163,597","122,304","112,739","105,140","92,521","12,619","9,565","23,124","12,678","6,455","10,446","1,747","8,699","38,294","33,323","1,079","3,269","82,729","71,845","68,773","7,701","37,356","30,120","51,829","39,375","24,334","4,340","14,606","1,807","4,557",(S),"12,824","7,535","3,133","1,127","85,128","17,073","4,984","12,089","68,055","57,754","10,301","15,595","3,146",866,"2,280","1,880","124,291","113,929","4,415","78,824","69,543","33,923"
