Month and year,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Restaurants and other eating places,Limited service eating places
Jan. 2014,"383,409","312,667","340,758","270,016","340,476","269,734","86,319","70,742","64,100","60,930","54,761","6,169","6,642","15,135","7,257","3,947","7,878","1,262","6,616","19,682","17,514",626,"1,663","54,128","49,275","47,421","3,333","23,854","20,374","42,651","15,232","11,111","2,448","5,698","1,185","2,019","1,898","5,956","2,721","1,018","1,473","47,520","10,624","3,414","7,210","36,896","32,388","4,508","8,094","2,476","1,475","1,001","1,092","37,482","27,448","6,632","42,933","37,571","17,969"
Feb. 2014,"380,379","305,010","339,706","264,337","337,481","262,112","89,551","75,369","68,665","64,684","56,522","8,162","6,704","15,144","7,286","4,114","7,858","1,276","6,582","18,792","16,672",620,"1,569","49,987","45,225","43,368","3,261","22,483","18,891","40,673","17,566","12,131","2,798","6,251","1,136","2,615","2,606","5,348","2,801","1,089",723,"49,092","11,631","4,019","7,612",37461,"32,619","4,842","8,172","2,401","1,280","1,121","1,138","34,855","25,691","5,835","42,898","37,334","17,690"
Mar. 2014,"432,984","342,009","386,592","295,617","383,567","292,592","99,379","90,975","83,493","78,044","69,328","8,716","7,482","16,338","8,174","4,640","8,164","1,406","6,758","24,094","20,534",796,"1,864","54,391","49,148","47,067","3,597","24,301","20,213","46,392","20,136","14,894","3,516","7,785","1,308","2,886","2,155","6,238","3,550","1,220",676,"54,217","13,283","4,594","8,689",40934,"35,794","5,140","8,929","2,450","1,338","1,112","1,316","37,556","29,045","4,866","49,417","43,208","20,749"
Apr. 2014,"431,523","343,092","384,161","295,730","383,816","295,385","97,099","88,431","80,998","74,957","67,217","7,740","7,433","15,059","7,856","4,203","7,203","1,294","5,909","30,122","24,336",895,"1,966","54,264","48,847","46,711","3,643","24,070","20,336","47,362","20,391","15,045","3,570","7,922","1,210","2,848","2,302","6,163","3,517","1,203",675,"53,050","13,119","4,595","8,524","39,931","34,660","5,271","8,976","2,436","1,250","1,186","1,307","35,928","29,021","3,094","47,707","41,446","20,525"
May 2014,"459,348","365,617","408,685","314,954","408,288","314,557","103,929","93,731","86,243","79,503","71,666","7,837","7,488","16,126","8,459","4,658","7,667","1,444","6,223","33,407","27,031",963,"2,186","57,850","51,911","49,589","4,096","24,793","20,767","50,663","21,645","15,691","3,737","8,278","1,271","2,832","2,871","6,407","3,678","1,177",784,"57,198","14,039","4,963","9,076","43,159","37,495","5,664","10,564","2,553","1,193","1,360","1,333","35,904","29,435","2,321","51,060","44,377","21,827"
Jun. 2014,"433,387","346,195","384,682","297,490","385,482","298,290","97,593","87,192","79,885","73,619","65,935","7,684","7,307","15,542","7,952","4,233","7,590","1,444","6,146","30,054","25,334",973,"2,023","55,337","49,596","47,306","3,966","24,050","20,116","48,705","19,024","14,085","3,151","7,485","1,276","2,530","2,207","6,443","3,930","1,087",693,"54,174","13,028","4,448","8,580","41,146","35,791","5,355","9,709","2,410","1,081","1,329","1,284","35,252","29,345","1,995","47,905","42,085","21,189"
Jul. 2014,"443,411","351,628","393,527","301,744","394,700","302,917","99,422","91,783","84,223","78,133","70,331","7,802","7,560","16,361","8,477","4,488","7,884","1,476","6,408","28,623","25,272","1,042","1,999","57,475","51,528","49,114","4,166","24,409","20,586","49,884","19,902","14,728","3,145","8,129","1,188","2,803","2,174","6,486","3,839","1,186",697,"53,964","12,746","4,165","8,581","41,218","35,862","5,356","9,868","2,709","1,241","1,468","1,384","35,945","29,988","2,034","48,711","42,956","21,693"
Aug. 2014,"451,571","358,406","402,129","308,964","401,450","308,285","107,727","93,165","85,688","80,489","72,401","8,088","7,477","16,988","8,812","4,757","8,176","1,462","6,714","26,426","23,557",981,"1,938","57,379","51,466","49,035","4,139","24,439","20,297","49,442","22,073","15,943","3,420","8,547","1,350","3,644","2,283","8,091","4,382","1,189","1,686","57,407","14,196","4,642","9,554","43,211","37,892","5,319","10,116","3,168","1,679","1,489","1,406","35,924","29,992","2,066","50,121","44,043","21,941"
Sep. 2014,"421,525","337,647","375,276","291,398","374,401","290,523","95,744","83,878","76,695","71,819","64,089","7,730","7,183","16,624","8,446","4,647","8,178","1,446","6,732","26,175","23,420",964,"1,895","54,382","49,003","46,779","3,736","24,400","20,348","46,249","18,707","13,926","3,214","7,430","1,064","2,495","2,091","6,656","3,516","1,254","1,060","50,989","12,171","4,215","7,956","38,818","33,739","5,079","9,670","2,768","1,376","1,392","1,349","36,671","30,474","2,326","47,124","40,406","20,289"
Oct. 2014,"438,601","353,728","392,364","307,491","388,391","303,518","101,511","84,873","77,236","72,936","64,849","8,087","7,637","16,577","8,514","4,539","8,063","1,459","6,604","27,308","24,048",947,"2,061","56,940","51,196","49,011","4,003","25,257","21,293","46,237","20,289","15,264","3,450","8,295","1,162","2,599","2,232","6,390","3,432","1,358",720,"54,993","13,211","4,551","8,660","41,782","36,249","5,533","10,514","3,262","1,234","2,028","1,464","39,013","31,993","2,892","50,210","43,076","21,540"
Nov. 2014,"439,199","359,711","398,230","318,742","391,502","312,014","115,721","79,488","72,341","69,083","62,129","6,954","7,147","19,699","9,020","4,800","10,679","1,603","9,076","24,806","21,665",725,"1,914","57,013","51,168","49,114","4,012","23,852","19,835","40,969","23,573","17,875","3,821","9,866","1,477","2,890","2,597","7,654","3,898","2,142",724,"62,256","16,855","6,246","10,609","45,401","39,600","5,801","9,583","2,539","1,150","1,389","1,300","42,609","35,452","3,418","47,697","41,340","20,283"
Dec. 2014,"501,964","414,851","464,229","377,116","451,097","363,984","147,582","87,113","80,365","76,794","69,655","7,139","6,748","23,802","10,298","4,895","13,504","1,630","11,874","24,038","20,765",701,"1,924","61,327","53,135","51,160","5,443","28,658","23,583","37,735","32,798","22,795","4,905","12,287","1,977","3,803","5,781","11,715","5,833","3,510","1,326","75,748","23,875","9,567","14,308","51,873","44,654","7,219","11,135","3,519","1,373","2,146","1,285","57,028","49,007","4,191","50,867","44,706","21,416"
